date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
05/10/2022,23:03:50,5,25.67559,62.79907,630.3737,11,1,1,1,,
05/10/2022,23:03:50,1,24.76501,65.38544,499.8788,14,1,1,1,,
05/10/2022,23:03:55,5,25.63287,62.9715,631.4286,11,1,1,1,,
05/10/2022,23:03:55,1,24.79172,65.48004,501.0854,14,1,1,1,,
05/10/2022,23:04:00,5,25.61951,63.06915,632.8043,11,1,1,1,,
05/10/2022,23:04:00,1,24.80774,65.47546,501.5696,14,1,1,1,,
05/10/2022,23:04:05,5,25.64622,62.96387,630.881,11,1,1,1,,
05/10/2022,23:04:05,1,24.77837,65.54565,501.6425,14,1,1,1,,
05/10/2022,23:04:05,,25.67559,65.48004,632.8043,14,1,1,1,-1,-1
05/10/2022,23:04:10,5,25.64622,62.92267,629.9244,11,1,1,1,,
05/10/2022,23:04:10,1,24.82109,65.64178,501.9883,14,1,1,1,,
05/10/2022,23:04:15,5,25.64622,62.86316,629.9457,11,2,2,2,,
05/10/2022,23:04:15,1,24.86382,65.3656,502.0894,14,1,1,1,,
05/10/2022,23:04:20,5,25.63287,62.92114,631.5557,11,2,2,2,,
05/10/2022,23:04:20,1,24.87717,65.40833,502.1032,14,1,1,1,,
05/10/2022,23:04:20,,25.64622,65.64178,629.9457,14,2,2,2,-1,-1
05/10/2022,23:04:25,5,25.65957,62.90741,631.1357,11,1,1,1,,
05/10/2022,23:04:25,1,24.87717,65.42969,502.0274,14,1,1,1,,
05/10/2022,23:04:30,5,25.63287,62.88147,632.2862,11,1,1,1,,
05/10/2022,23:04:30,1,24.87717,65.46783,502.3101,14,1,1,1,,
05/10/2022,23:04:35,5,25.61951,62.91809,631.1655,11,1,1,1,,
05/10/2022,23:04:35,1,24.87717,65.60516,502.2897,14,1,1,1,,
05/10/2022,23:04:35,,25.65957,65.46783,632.2862,14,1,1,1,-1,-1
05/10/2022,23:04:40,5,25.60349,63.02643,630.8776,11,2,2,2,,
05/10/2022,23:04:40,1,24.86382,65.6723,503.4301,14,1,1,1,,
05/10/2022,23:04:45,5,25.64622,63.04474,630.3413,11,1,1,1,,
05/10/2022,23:04:45,1,24.87717,65.69214,503.1757,14,1,1,1,,
05/10/2022,23:04:50,5,25.67559,63.10883,629.3326,11,1,1,1,,
05/10/2022,23:04:50,1,24.87717,65.78217,502.1848,14,1,1,1,,
05/10/2022,23:04:50,,25.64622,65.69214,630.8776,14,2,2,2,-1,-1
05/10/2022,23:04:55,5,25.70229,62.98523,628.2,11,1,1,1,,
05/10/2022,23:04:55,1,24.86382,65.77911,502.1098,14,1,1,1,,
05/10/2022,23:05:00,5,25.65957,62.92725,629.5146,11,1,1,1,,
05/10/2022,23:05:00,1,24.80774,65.69977,502.2397,14,1,1,1,,
05/10/2022,23:05:05,5,25.65957,62.90741,629.4152,11,1,1,1,,
05/10/2022,23:05:05,1,24.87717,65.59601,501.9517,14,1,1,1,,
05/10/2022,23:05:05,,25.70229,65.77911,629.5146,14,1,1,1,-1,-1
05/10/2022,23:05:10,5,25.59014,62.93488,631.2093,11,1,1,1,,
05/10/2022,23:05:10,1,24.83444,65.4892,500.2777,14,1,1,1,,
05/10/2022,23:05:15,5,25.60349,63.01727,632.3215,11,1,1,1,,
05/10/2022,23:05:15,1,24.74899,65.67841,498.5658,14,1,1,1,,
05/10/2022,23:05:20,5,25.61951,63.15002,633.0543,11,1,1,1,,
05/10/2022,23:05:20,1,24.80774,65.98511,503.8718,14,1,1,1,,
05/10/2022,23:05:20,,25.60349,65.67841,632.3215,14,1,1,1,-1,-1
05/10/2022,23:05:25,5,25.63287,63.17291,632.5339,11,1,1,1,,
05/10/2022,23:05:25,1,24.87717,65.93018,503.0125,14,1,1,1,,
05/10/2022,23:05:30,5,25.63287,63.08289,632.1739,11,1,1,1,,
05/10/2022,23:05:30,1,24.87717,65.93018,503.3273,14,1,1,1,,
05/10/2022,23:05:35,5,25.64622,63.01422,630.6736,11,1,1,1,,
05/10/2022,23:05:35,1,24.80774,65.85693,502.9303,14,1,1,1,,
05/10/2022,23:05:35,,25.63287,65.93018,632.5339,14,1,1,1,-1,-1
05/10/2022,23:05:40,5,25.65957,62.8952,631.1231,11,1,1,1,,
05/10/2022,23:05:40,1,24.86382,65.87982,503.0162,14,1,1,1,,
05/10/2022,23:05:45,5,25.67559,62.89978,631.2797,11,1,1,1,,
05/10/2022,23:05:45,1,24.83444,65.85236,504.9171,14,1,1,1,,
