date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
13/09/2022,10:20:39,5,23.1,86,536,20,,
13/09/2022,10:20:44,3,23.2,62,692,44,,
13/09/2022,10:20:44,5,23.3,86,545,22,,
13/09/2022,10:20:44,,23.4,86,694,44,-1,-1
13/09/2022,10:20:49,3,23.2,62,692,44,,
13/09/2022,10:20:49,5,23.3,86,545,22,,
13/09/2022,10:20:54,3,23.2,62,694,44,,
13/09/2022,10:20:54,5,23.2,87,545,22,,
13/09/2022,10:20:59,3,23.2,62,702,46,,
13/09/2022,10:20:59,5,23.3,87,536,20,,
13/09/2022,10:20:59,,23.3,87,694,44,-1,-1
13/09/2022,10:21:04,3,23.2,62,702,46,,
13/09/2022,10:21:04,5,23.1,87,536,20,,
13/09/2022,10:21:09,3,23.1,62,692,44,,
13/09/2022,10:21:09,5,23.3,86,536,20,,
13/09/2022,10:21:14,3,23.1,62,697,45,,
13/09/2022,10:21:14,5,23.1,87,536,20,,
13/09/2022,10:21:14,,23.3,87,702,46,-1,-1
13/09/2022,10:21:19,3,23.1,62,702,46,,
13/09/2022,10:21:19,5,23.3,87,545,22,,
13/09/2022,10:21:24,3,23.2,62,702,46,,
13/09/2022,10:21:24,5,23.2,87,553,23,,
13/09/2022,10:21:29,3,23.2,62,694,44,,
13/09/2022,10:21:29,5,23.3,87,567,25,,
13/09/2022,10:21:29,,23.3,87,702,46,-1,-1
13/09/2022,10:21:34,3,23.2,62,694,44,,
13/09/2022,10:21:34,5,23.1,87,567,25,,
13/09/2022,10:21:39,3,23.2,62,697,45,,
13/09/2022,10:21:39,5,23.1,87,578,27,,
13/09/2022,10:21:44,3,23.1,63,714,47,,
13/09/2022,10:21:44,5,23.3,87,589,28,,
13/09/2022,10:21:44,,23.2,87,697,45,-1,-1
13/09/2022,10:21:49,3,23.2,63,717,48,,
13/09/2022,10:21:49,5,23.3,87,584,28,,
13/09/2022,10:21:54,3,23.2,63,714,47,,
13/09/2022,10:21:54,5,23.3,87,572,26,,
13/09/2022,10:21:59,3,23.2,63,710,47,,
13/09/2022,10:21:59,5,23.3,87,560,24,,
13/09/2022,10:21:59,,23.3,87,717,48,-1,-1
13/09/2022,10:22:04,3,23.2,63,714,47,,
13/09/2022,10:22:04,5,23.1,87,553,23,,
13/09/2022,10:22:09,3,23.1,63,714,47,,
13/09/2022,10:22:09,5,23.3,87,548,22,,
13/09/2022,10:22:14,3,23.2,63,717,46,,
13/09/2022,10:22:14,5,23.4,87,545,22,,
13/09/2022,10:22:14,,23.3,87,714,47,-1,-1
13/09/2022,10:22:19,3,23.2,62,726,49,,
13/09/2022,10:22:19,5,23.4,87,536,20,,
13/09/2022,10:22:24,3,23.2,63,733,50,,
13/09/2022,10:22:24,5,23.1,87,536,20,,
13/09/2022,10:22:29,3,23.2,63,733,50,,
13/09/2022,10:22:29,5,23.3,87,536,20,,
13/09/2022,10:22:29,,23.4,87,733,50,-1,-1
13/09/2022,10:22:34,3,23.2,63,737,51,,
13/09/2022,10:22:34,5,23.4,88,545,22,,
13/09/2022,10:22:39,3,23.2,63,733,50,,
13/09/2022,10:22:39,5,23.2,88,545,22,,
13/09/2022,10:22:44,3,23.2,63,726,49,,
13/09/2022,10:22:44,5,23.2,88,553,23,,
13/09/2022,10:22:44,,23.4,88,737,51,-1,-1
13/09/2022,10:22:49,3,23.2,63,737,51,,
13/09/2022,10:22:49,5,23.1,88,567,25,,
13/09/2022,10:22:54,3,23.2,63,726,49,,
13/09/2022,10:22:54,5,23.1,88,567,25,,
13/09/2022,10:22:59,3,23.2,63,717,48,,
13/09/2022,10:22:59,5,23.1,88,572,26,,
13/09/2022,10:22:59,,23.2,88,737,51,-1,-1
13/09/2022,10:23:04,3,23.1,62,710,47,,
13/09/2022,10:23:04,5,23.3,89,578,27,,
13/09/2022,10:23:09,3,23.2,62,710,47,,
13/09/2022,10:23:09,5,23.3,89,578,27,,
13/09/2022,10:23:14,3,23.2,62,733,50,,
13/09/2022,10:23:14,5,23.4,89,578,27,,
13/09/2022,10:23:14,,23.3,89,710,47,-1,-1
13/09/2022,10:23:19,3,23.2,63,733,50,,
13/09/2022,10:23:19,5,23.1,89,578,27,,
