date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
8/9/2022,19:49:50,2,20.9,75,405,0,,
8/9/2022,19:49:50,1,21.9,74,402,0,,
8/9/2022,19:49:55,2,21.2,75,405,0,,
8/9/2022,19:49:55,1,21.9,74,401,0,,
8/9/2022,19:50:00,2,21.2,75,405,0,,
8/9/2022,19:50:00,1,22,74,400,0,,
8/9/2022,19:50:05,2,21.2,74,400,0,,
8/9/2022,19:50:05,1,21.9,74,407,1,,
8/9/2022,19:50:05,,21.51666667,74.5,403,0,-1,-1
8/9/2022,19:50:10,2,20.9,75,400,0,,
8/9/2022,19:50:10,1,21.8,74,402,0,,
8/9/2022,19:50:15,2,21.2,74,400,0,,
8/9/2022,19:50:15,1,21.9,74,402,0,,
8/9/2022,19:50:20,2,21.2,74,400,0,,
8/9/2022,19:50:20,1,21.9,74,400,0,,
8/9/2022,19:50:20,,21.45,74.25,401,0,-1,-1
8/9/2022,19:50:25,2,21.1,74,400,0,,
8/9/2022,19:50:25,1,21.9,74,405,0,,
8/9/2022,19:50:30,2,21.2,74,405,0,,
8/9/2022,19:50:30,1,21.9,74,405,0,,
8/9/2022,19:50:35,2,21.2,74,1248,129,,
8/9/2022,19:50:35,1,22,74,405,0,,
8/9/2022,19:50:35,,21.525,74,403.75,0,-1,-1
8/9/2022,19:50:40,2,20.9,77,1044,98,,
8/9/2022,19:50:40,1,21.9,74,407,1,,
8/9/2022,19:50:45,2,20.9,83.4,834,66,,
8/9/2022,19:50:45,1,21.9,74,405,0,,
8/9/2022,19:50:50,2,20.9,76,666,40,,
8/9/2022,19:50:50,1,21.9,74,405,0,,
8/9/2022,19:50:50,,21.4,77.1,672.5,41.25,-1,-1
8/9/2022,19:50:55,2,20.8,76,588,28,,
8/9/2022,19:50:55,1,22,74,424,3,,
8/9/2022,19:51:00,2,21.7,75,497,14,,
8/9/2022,19:51:00,1,22,75,421,3,,
8/9/2022,19:51:05,2,20.7,75,454,8,,
8/9/2022,19:51:05,1,21.9,74,421,3,,
8/9/2022,19:51:05,,21.625,75,482.5,12,-1,-1
8/9/2022,19:51:10,2,21.7,74,447,7,,
8/9/2022,19:51:10,1,22,75,416,2,,
8/9/2022,19:51:15,2,21.5,74,427,4,,
8/9/2022,19:51:15,1,21.9,75,488,13,,
8/9/2022,19:51:20,2,21.5,74,420,3,,
8/9/2022,19:51:20,1,21.9,76,460,9,,
8/9/2022,19:51:20,,21.775,74.5,444.5,6.5,-1,-1
8/9/2022,19:51:25,2,21.8,74,420,3,,
8/9/2022,19:51:25,1,22,76,436,5,,
8/9/2022,19:51:30,2,21.9,80.4,415,2,,
8/9/2022,19:51:30,1,21.9,75,432,4,,
8/9/2022,19:51:35,2,21.8,74,413,1,,
8/9/2022,19:51:35,1,22,75,407,1,,
8/9/2022,19:51:35,,21.9,76.35,425.75,3.5,-1,-1
8/9/2022,19:51:40,2,20.8,74,409,1,,
8/9/2022,19:51:40,1,22,74,400,0,,
8/9/2022,19:51:45,2,21.7,73,409,1,,
8/9/2022,19:51:45,1,22.1,74,400,0,,
8/9/2022,19:51:50,2,21.7,73,409,1,,
8/9/2022,19:51:50,1,22,74,405,0,,
8/9/2022,19:51:50,,21.65,73.75,404.5,0.5,-1,-1
8/9/2022,19:51:55,2,21.5,73,409,1,,
8/9/2022,19:51:55,1,22,73,403,0,,
8/9/2022,19:52:00,2,20.8,73,409,1,,
8/9/2022,19:52:00,1,22,73,403,0,,
8/9/2022,19:52:05,2,21.9,73,409,1,,
8/9/2022,19:52:05,1,21.9,73,403,0,,
8/9/2022,19:52:05,,21.575,73,406,0.5,-1,-1
8/9/2022,19:52:10,2,21.7,73,409,1,,
8/9/2022,19:52:10,1,22.1,73,403,0,,
8/9/2022,19:52:15,2,21.8,73,409,1,,
8/9/2022,19:52:15,1,22,73,403,0,,
8/9/2022,19:52:20,2,21.8,73,409,1,,
8/9/2022,19:52:20,1,22,73,403,0,,
8/9/2022,19:52:20,,21.9,73,406,0.5,-1,-1
8/9/2022,19:52:25,2,21.9,73,409,1,,
8/9/2022,19:52:25,1,22.1,73,400,0,,
8/9/2022,19:52:30,2,21.8,73,409,1,,
8/9/2022,19:52:30,1,21.9,73,403,0,,
8/9/2022,19:52:35,2,21.7,73,409,1,,
8/9/2022,19:52:35,1,22,73,403,0,,
8/9/2022,19:52:35,,21.925,73,405.25,0.5,-1,-1
8/9/2022,19:52:40,2,21.8,73,409,1,,
8/9/2022,19:52:41,1,22,73,403,0,,
8/9/2022,19:52:46,2,21.9,73,409,1,,
8/9/2022,19:52:46,1,22.1,73,408,1,,
8/9/2022,19:52:51,2,21.9,73,409,1,,
8/9/2022,19:52:51,1,22.1,73,403,0,,
8/9/2022,19:52:51,,21.95,73,407.25,0.75,-1,-1
8/9/2022,19:52:56,2,21.8,79.4,409,1,,
8/9/2022,19:52:56,1,22.1,73,408,1,,
8/9/2022,19:53:01,2,21.8,73,409,1,,
8/9/2022,19:53:01,1,22.1,73,403,0,,
8/9/2022,19:53:06,2,21.7,73,413,1,,
8/9/2022,19:53:06,1,22.1,73,400,0,,
8/9/2022,19:53:06,,21.95,74.6,407.25,0.75,-1,-1
8/9/2022,19:53:11,2,21.9,73,415,2,,
8/9/2022,19:53:11,1,21.9,73,400,0,,
8/9/2022,19:53:16,2,21.6,73,415,2,,
8/9/2022,19:53:16,1,22.1,73,408,1,,
8/9/2022,19:53:21,2,21.8,73,415,2,,
8/9/2022,19:53:21,1,22.1,73,408,1,,
8/9/2022,19:53:21,,21.875,73,409.5,1.25,-1,-1
8/9/2022,19:53:26,2,21.8,73,415,2,,
8/9/2022,19:53:26,1,22.1,73,408,1,,
8/9/2022,19:53:31,2,21.9,73,415,2,,
8/9/2022,19:53:31,1,22,73,413,1,,
8/9/2022,19:53:36,2,21.7,73,420,3,,
8/9/2022,19:53:36,1,21.9,73,408,1,,
8/9/2022,19:53:36,,21.95,73,412.75,1.5,-1,-1
8/9/2022,19:53:41,2,21.8,73,420,3,,
8/9/2022,19:53:41,1,22,73,408,1,,
8/9/2022,19:53:46,2,21.9,73,420,3,,
8/9/2022,19:53:46,1,22.1,73,408,1,,
8/9/2022,19:53:51,2,21.9,73,420,3,,
8/9/2022,19:53:51,1,21.9,73,413,1,,
8/9/2022,19:53:51,,21.95,73,414,2,-1,-1
8/9/2022,19:53:56,2,21.9,73,420,3,,
8/9/2022,19:53:56,1,21.9,73,408,1,,
8/9/2022,19:54:01,2,21.7,73,424,3,,
8/9/2022,19:54:01,1,22,73,413,1,,
8/9/2022,19:54:06,2,21.9,73,424,3,,
8/9/2022,19:54:06,1,22,73,417,2,,
8/9/2022,19:54:06,,21.875,73,416.25,2,-1,-1
8/9/2022,19:54:11,2,21.8,72,424,3,,
8/9/2022,19:54:11,1,21.9,73,413,1,,
8/9/2022,19:54:16,2,21.7,73,424,3,,
8/9/2022,19:54:16,1,21.9,72,413,1,,
8/9/2022,19:54:21,2,21.8,72,427,4,,
8/9/2022,19:54:21,1,21.9,72,413,1,,
8/9/2022,19:54:21,,21.825,72.5,418.5,2,-1,-1
8/9/2022,19:54:26,2,20.8,72,434,5,,
8/9/2022,19:54:26,1,21.9,72,417,2,,
8/9/2022,19:54:31,2,21.7,72,434,5,,
8/9/2022,19:54:31,1,22.2,73,417,2,,
8/9/2022,19:54:36,2,21.8,72,427,4,,
8/9/2022,19:54:36,1,22,73,417,2,,
8/9/2022,19:54:36,,21.65,72.25,425.5,3.5,-1,-1
8/9/2022,19:54:41,2,21.8,72,427,4,,
8/9/2022,19:54:41,1,22,72,417,2,,
8/9/2022,19:54:46,2,21.8,72,427,4,,
8/9/2022,19:54:46,1,22.1,72,417,2,,
8/9/2022,19:54:51,2,21.8,72,424,3,,
8/9/2022,19:54:51,1,22.1,73,417,2,,
8/9/2022,19:54:51,,21.925,72,422,3,-1,-1
8/9/2022,19:54:56,2,21.8,72,424,3,,
8/9/2022,19:54:56,1,22.2,73,417,2,,
8/9/2022,19:55:01,2,21.6,72,424,3,,
8/9/2022,19:55:01,1,22.2,73,417,2,,
8/9/2022,19:55:06,2,21.9,72,427,4,,
8/9/2022,19:55:06,1,22,72,421,3,,
8/9/2022,19:55:06,,21.95,72.5,420.5,2.5,-1,-1
8/9/2022,19:55:11,2,21.8,72,427,4,,
8/9/2022,19:55:11,1,22,72,421,3,,
8/9/2022,19:55:16,2,22,72,427,4,,
8/9/2022,19:55:16,1,22.2,72,421,3,,
8/9/2022,19:55:21,2,21.7,72,434,5,,
8/9/2022,19:55:21,1,21.9,72,421,3,,
8/9/2022,19:55:21,,22,72,424,3.5,-1,-1
8/9/2022,19:55:26,2,21.9,72,438,5,,
8/9/2022,19:55:26,1,22.3,72,421,3,,
8/9/2022,19:55:31,2,21.7,72,438,5,,
8/9/2022,19:55:31,1,22.2,72,421,3,,
8/9/2022,19:55:36,2,21.9,72,459,8,,
