date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
09/10/2022,16:41:11,3,30.84268,63.95721,420.6317,20,14,20,23,,
09/10/2022,16:41:11,4,31.41413,63.88245,456.8811,11,21,30,35,,
09/10/2022,16:41:11,1,32.2179,60.16235,430.2377,122,10,14,14,,
09/10/2022,16:41:11,2,31.59838,62.46796,275.6519,27,15,22,25,,
09/10/2022,16:41:21,3,30.82933,64.20441,421.9194,20,12,17,20,,
09/10/2022,16:41:21,4,31.38743,64.01062,460.9403,11,18,26,30,,
09/10/2022,16:41:21,1,32.23125,60.16541,430.233,122,10,14,14,,
09/10/2022,16:41:21,2,31.61173,62.39929,270.4968,27,13,19,22,,
09/10/2022,16:41:31,3,30.85603,64.01672,427.9127,20,11,16,18,,
09/10/2022,16:41:31,4,31.41413,63.974,459.3408,11,17,25,29,,
09/10/2022,16:41:31,1,32.18852,60.21576,433.9243,122,9,13,13,,
09/10/2022,16:41:31,2,31.64111,62.38556,264.3066,27,13,18,21,,
09/10/2022,16:41:41,3,30.92546,63.88855,430.2175,20,11,16,18,,
09/10/2022,16:41:41,4,31.40078,63.90991,461.7869,11,16,23,26,,
09/10/2022,16:41:41,1,32.04967,60.49042,434.6393,122,9,13,13,,
09/10/2022,16:41:41,2,31.64111,62.3642,272.5153,27,12,17,20,,
09/10/2022,16:41:41,,32.23125,64.20441,460.9403,122,21,30,35,-1,-1
09/10/2022,16:41:51,3,30.94148,63.87939,428.8777,20,10,14,15,,
09/10/2022,16:41:51,4,31.41413,63.96484,463.3219,11,15,21,24,,
09/10/2022,16:41:51,1,31.9749,60.76508,433.7766,122,9,13,13,,
09/10/2022,16:41:51,2,31.52361,62.47711,277.9943,27,12,17,19,,
09/10/2022,16:42:01,3,30.96819,63.83209,430.2987,20,10,14,14,,
09/10/2022,16:42:01,4,31.35806,64.07623,462.8303,11,14,20,23,,
09/10/2022,16:42:01,1,31.99092,60.78033,434.1649,122,9,13,13,,
09/10/2022,16:42:01,2,31.55299,62.5,280.0218,27,11,16,18,,
09/10/2022,16:42:11,3,30.98154,63.73596,431.0434,20,10,14,14,,
09/10/2022,16:42:11,4,31.30198,64.1983,462.6766,11,14,20,23,,
09/10/2022,16:42:11,1,31.99092,60.88562,431.2106,122,9,13,13,,
09/10/2022,16:42:11,2,31.48089,62.69836,278.4402,27,10,14,15,,
09/10/2022,16:42:11,,31.99092,64.07623,463.3219,122,15,21,24,-1,-1
09/10/2022,16:42:21,3,31.02426,63.64594,432.2492,20,9,13,13,,
09/10/2022,16:42:21,4,31.30198,64.22729,461.7678,11,13,19,22,,
09/10/2022,16:42:21,1,32.00427,60.83984,430.8291,122,9,13,13,,
09/10/2022,16:42:21,2,31.44083,62.78381,279.7797,27,10,14,14,,
09/10/2022,16:42:31,3,31.06966,63.55743,431.6654,20,9,13,13,,
09/10/2022,16:42:31,4,31.31533,64.21204,460.4816,11,12,17,20,,
09/10/2022,16:42:31,1,32.02029,60.8429,428.535,122,9,13,13,,
09/10/2022,16:42:31,2,31.41146,62.98065,280.3224,27,10,14,14,,
09/10/2022,16:42:41,3,31.06966,63.43842,432.5454,20,9,13,13,,
09/10/2022,16:42:41,4,31.30198,64.2395,461.1707,11,12,17,20,,
09/10/2022,16:42:41,1,32.10574,60.60486,427.4152,122,9,13,13,,
09/10/2022,16:42:41,2,31.32868,63.15613,281.5957,27,9,13,13,,
09/10/2022,16:42:41,,32.02029,64.22729,461.7678,122,13,19,22,-1,-1
09/10/2022,16:42:51,3,31.11238,63.38043,432.3015,20,9,13,13,,
09/10/2022,16:42:51,4,31.30198,64.37225,461.6953,11,12,17,19,,
09/10/2022,16:42:51,1,32.08972,60.52246,430.0303,122,9,13,13,,
09/10/2022,16:42:51,2,31.34203,63.24158,281.3708,27,9,13,13,,
09/10/2022,16:43:01,3,31.12573,63.33008,431.3415,20,9,13,13,,
09/10/2022,16:43:01,4,31.27528,64.43787,463.9094,11,11,16,18,,
09/10/2022,16:43:01,1,32.03365,60.55603,433.2952,122,9,13,13,,
09/10/2022,16:43:01,2,31.32868,63.29803,281.0886,27,9,13,13,,
09/10/2022,16:43:11,3,31.12573,63.2782,431.1463,20,9,13,13,,
09/10/2022,16:43:11,4,31.38743,64.34631,462.6516,11,11,16,18,,
09/10/2022,16:43:11,1,32.03365,60.75287,432.4789,122,9,13,13,,
09/10/2022,16:43:11,2,31.31266,63.27515,281.1801,27,10,14,14,,
09/10/2022,16:43:11,,32.08972,64.43787,463.9094,122,12,17,19,-1,-1
09/10/2022,16:43:21,3,31.13908,63.26904,430.0877,20,9,13,13,,
09/10/2022,16:43:21,4,31.30198,64.81171,464.4552,11,190,107,234,,
09/10/2022,16:43:21,1,31.93485,60.90851,431.8966,122,64,98,118,,
09/10/2022,16:43:21,2,31.28596,63.35144,281.9707,27,9,13,13,,
09/10/2022,16:43:31,3,31.12573,63.22021,429.356,20,9,13,13,,
09/10/2022,16:43:31,4,31.28863,64.97192,464.8092,11,198,124,22,,
09/10/2022,16:43:31,1,31.93485,61.16333,433.0426,122,20,29,34,,
09/10/2022,16:43:31,2,31.26994,63.39874,281.0562,27,9,13,13,,
09/10/2022,16:43:41,3,31.12573,63.2782,428.5289,20,9,13,13,,
09/10/2022,16:43:41,4,31.37141,64.34479,465.7048,11,6,4,250,,
09/10/2022,16:43:41,1,31.96155,60.99548,433.5129,122,27,39,46,,
09/10/2022,16:43:41,2,31.29931,63.43384,280.0148,27,9,13,13,,
09/10/2022,16:43:41,,31.93485,64.97192,464.8092,122,198,124,234,1,1
09/10/2022,16:43:51,3,31.12573,63.28735,428.3209,20,9,13,13,,
09/10/2022,16:43:51,4,31.41413,64.2807,467.4346,11,193,113,250,,
09/10/2022,16:43:51,1,31.89212,61.05347,432.9803,122,24,35,41,,
09/10/2022,16:43:51,2,31.24323,63.55438,280.868,27,9,13,13,,
09/10/2022,16:44:01,3,31.12573,63.3194,429.8633,20,8,11,11,,
09/10/2022,16:44:01,4,31.38743,64.47906,469.1902,11,204,136,53,,
09/10/2022,16:44:01,1,31.86275,61.10382,431.3944,122,19,27,31,,
09/10/2022,16:44:01,2,31.24323,63.59558,281.2523,27,9,13,13,,
09/10/2022,16:44:11,3,31.15244,63.25073,430.0181,20,9,13,13,,
09/10/2022,16:44:11,4,31.45686,64.25781,468.3188,11,114,213,106,,
09/10/2022,16:44:11,1,31.86275,61.27777,431.4764,122,17,25,29,,
09/10/2022,16:44:11,2,31.21385,63.59863,280.9144,27,9,13,13,,
09/10/2022,16:44:11,,31.89212,64.47906,469.1902,122,204,136,250,1,1
09/10/2022,16:44:21,3,31.16846,63.1424,431.1391,20,9,13,13,,
09/10/2022,16:44:21,4,31.38743,64.30511,473.448,11,160,48,84,,
09/10/2022,16:44:21,1,31.86275,61.30066,432.8565,122,71,110,134,,
09/10/2022,16:44:21,2,31.15778,63.68103,281.7784,27,148,4,84,,
09/10/2022,16:44:32,3,31.19516,63.03101,430.1644,20,9,13,13,,
09/10/2022,16:44:32,4,31.33135,64.36768,474.2155,11,180,87,183,,
09/10/2022,16:44:32,1,31.86275,61.38,432.6805,122,49,73,88,,
09/10/2022,16:44:32,2,31.18715,63.80615,282.0182,27,191,118,12,,
09/10/2022,16:44:42,3,31.20851,62.98676,430.7325,20,9,13,13,,
09/10/2022,16:44:42,4,31.33135,64.39667,474.2094,11,134,252,205,,
09/10/2022,16:44:42,1,31.91882,61.05804,431.5339,122,56,85,102,,
09/10/2022,16:44:42,2,31.2005,63.8092,282.1396,27,216,165,96,,
09/10/2022,16:44:42,,31.86275,64.36768,474.2155,122,191,118,183,1,1
09/10/2022,16:44:52,3,31.20851,62.95471,431.0605,20,9,13,13,,
09/10/2022,16:44:52,4,31.30198,64.42261,477.5407,11,96,178,14,,
09/10/2022,16:44:52,1,31.9482,61.00311,435.4675,122,22,32,37,,
09/10/2022,16:44:52,2,31.1738,63.81531,282.3494,27,90,166,241,,
09/10/2022,16:45:02,3,31.23788,62.95013,431.313,20,113,186,235,,
09/10/2022,16:45:02,4,31.3447,64.4104,476.416,11,150,29,34,,
09/10/2022,16:45:02,1,31.90547,61.05499,435.4988,122,22,32,37,,
09/10/2022,16:45:02,2,31.18715,63.78784,281.7347,27,90,165,238,,
09/10/2022,16:45:12,3,31.23788,62.93945,431.8078,20,103,167,208,,
09/10/2022,16:45:12,4,31.3447,64.40125,477.6786,11,148,25,23,,
09/10/2022,16:45:12,1,31.89212,61.06262,437.0719,122,21,30,35,,
09/10/2022,16:45:12,2,31.22987,63.76495,281.0273,27,213,162,82,,
09/10/2022,16:45:12,,31.9482,64.42261,477.5407,122,150,186,241,1,1
09/10/2022,16:45:22,3,31.22453,62.95929,431.1821,20,204,143,51,,
09/10/2022,16:45:22,4,31.37141,64.39667,477.5222,11,135,255,213,,
09/10/2022,16:45:22,1,31.87877,61.23352,437.6855,122,19,27,31,,
09/10/2022,16:45:22,2,31.18715,63.73596,283.6218,27,76,118,144,,
09/10/2022,16:45:32,3,31.20851,62.94556,430.5815,20,148,5,85,,
09/10/2022,16:45:32,4,31.41413,64.24866,474.8216,11,112,210,97,,
09/10/2022,16:45:32,1,31.89212,61.17859,434.814,122,16,23,26,,
09/10/2022,16:45:32,2,31.1738,63.79547,283.8058,27,58,102,76,,
09/10/2022,16:45:42,3,31.20851,62.95471,429.6576,20,126,212,14,,
09/10/2022,16:45:42,4,31.35806,64.23035,475.8463,11,69,125,135,,
09/10/2022,16:45:42,1,31.89212,61.14502,434.197,122,17,24,28,,
09/10/2022,16:45:42,2,31.1738,63.84277,283.4321,27,129,243,183,,
09/10/2022,16:45:42,,31.89212,64.39667,477.5222,122,204,255,213,1,1
09/10/2022,16:45:52,3,31.19516,63.0188,428.6709,20,204,143,51,,
09/10/2022,16:45:52,4,31.33135,64.33716,476.3425,11,96,177,12,,
09/10/2022,16:45:52,1,31.89212,61.13281,435.0554,122,16,23,27,,
09/10/2022,16:45:52,2,31.22987,63.77411,282.4396,27,80,146,189,,
09/10/2022,16:46:02,3,31.19516,63.04169,428.6449,20,204,143,51,,
09/10/2022,16:46:02,4,31.31533,64.42413,475.6703,11,3,250,73,,
09/10/2022,16:46:02,1,31.80667,61.11755,434.6335,122,16,23,26,,
09/10/2022,16:46:02,2,31.2005,63.74969,282.7777,27,20,28,245,,
09/10/2022,16:46:12,3,31.23788,62.95013,427.6309,20,204,143,51,,
09/10/2022,16:46:12,4,31.3447,64.44092,473.82,11,67,126,231,,
09/10/2022,16:46:12,2,31.1738,63.84277,285.4242,27,249,230,210,,
09/10/2022,16:46:12,,31.89212,64.42413,476.3425,122,204,250,245,1,1
09/10/2022,16:46:22,3,31.2646,62.82654,426.7089,20,201,138,44,,
09/10/2022,16:46:22,4,31.35806,64.37225,472.9315,11,121,202,0,,
09/10/2022,16:46:22,1,31.82269,61.28235,434.7335,122,29,42,49,,
09/10/2022,16:46:22,2,31.1738,63.95721,286.7596,27,68,122,126,,
09/10/2022,16:46:32,3,31.25124,62.86621,427.0152,20,135,232,43,,
09/10/2022,16:46:32,4,31.33135,64.41956,472.9407,11,95,151,187,,
09/10/2022,16:46:32,1,31.7506,61.46545,436.3726,122,25,37,43,,
09/10/2022,16:46:32,2,31.15778,63.96484,285.1444,27,66,118,117,,
09/10/2022,16:46:42,3,31.25124,62.86621,427.3298,20,204,143,51,,
09/10/2022,16:46:42,4,31.33135,64.40887,473.1689,11,52,79,95,,
09/10/2022,16:46:42,1,31.76662,61.61804,434.305,122,22,32,37,,
09/10/2022,16:46:42,2,31.18715,63.92822,281.732,27,21,34,48,,
09/10/2022,16:46:42,,31.82269,64.41956,472.9407,122,201,232,187,1,1
09/10/2022,16:46:52,3,31.25124,62.84485,427.2388,20,204,143,51,,
09/10/2022,16:46:52,4,31.35806,64.35089,472.9154,11,61,114,206,,
09/10/2022,16:46:52,1,31.82269,61.51123,433.5066,122,19,28,33,,
09/10/2022,16:46:52,2,31.18715,63.81836,284.1184,27,244,224,186,,
09/10/2022,16:47:02,3,31.28062,62.84027,427.8911,20,204,143,51,,
09/10/2022,16:47:02,4,31.35806,64.30969,474.3643,11,41,69,222,,
09/10/2022,16:47:02,1,31.87877,61.41968,433.154,122,17,24,28,,
09/10/2022,16:47:02,2,31.2005,63.8382,288.7661,27,40,73,124,,
09/10/2022,16:47:12,3,31.28062,62.79755,428.0733,20,175,73,192,,
09/10/2022,16:47:12,4,31.33135,64.28528,475.0099,11,43,64,77,,
09/10/2022,16:47:12,1,31.86275,61.35712,433.2419,122,16,23,26,,
09/10/2022,16:47:12,2,31.2005,63.75885,285.1626,27,234,204,152,,
09/10/2022,16:47:12,,31.87877,64.35089,474.3643,122,244,224,222,1,1
09/10/2022,16:47:22,3,31.29397,62.72125,426.1209,20,84,132,162,,
09/10/2022,16:47:22,4,31.3447,64.30817,475.1197,11,18,26,30,,
09/10/2022,16:47:22,1,31.8494,61.42578,434.1043,122,14,20,23,,
09/10/2022,16:47:22,2,31.25658,63.64899,271.232,27,126,243,249,,
09/10/2022,16:47:32,3,31.29397,62.70142,425.7934,20,171,62,174,,
