date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
11/09/2022,18:05:02,3,25.5,71,477,11,,
11/09/2022,18:05:02,1,26.5,95,1623,265,,
11/09/2022,18:05:12,3,25.3,71,493,14,,
11/09/2022,18:05:12,1,26.1,95,1590,236,,
11/09/2022,18:05:17,3,25.5,71,497,14,,
11/09/2022,18:05:17,1,25.8,95,1583,231,,
11/09/2022,18:05:17,,25.85,83.0,1045.75,131.5,-1,-1
11/09/2022,18:05:27,3,25.3,71,498,14,,
11/09/2022,18:05:27,1,26.2,95,1691,330,,
11/09/2022,18:05:32,3,25.5,71,487,13,,
11/09/2022,18:05:32,1,26.6,95,1890,571,,
11/09/2022,18:05:32,,25.75,83.0,1094.5,172.0,0,-1
11/09/2022,18:05:42,3,25.5,71,497,14,,
11/09/2022,18:05:42,1,26.1,95,1953,667,,
11/09/2022,18:05:47,3,25.4,71,487,13,,
11/09/2022,18:05:47,1,25.8,95,2009,763,,
11/09/2022,18:05:47,,25.8,83.0,1225.0,340.5,0,-1
11/09/2022,18:05:57,3,25.5,71,498,14,,
11/09/2022,18:05:57,1,25.8,95,2120,966,,
11/09/2022,18:06:02,3,25.3,71,497,14,,
11/09/2022,18:06:02,1,25.8,95,2270,1290,,
11/09/2022,18:06:02,,25.65,83.0,1309.0,490.0,1,-1
11/09/2022,18:06:12,3,25.5,71,508,16,,
11/09/2022,18:06:12,1,26,95,2474,1723,,
11/09/2022,18:06:17,3,25.6,71,508,16,,
11/09/2022,18:06:17,1,26.2,95,2601,2002,,
11/09/2022,18:06:17,,25.75,83.0,1491.0,869.5,1,0
11/09/2022,18:06:27,3,25.5,72,12581,23313,,
11/09/2022,18:06:27,1,25.8,95,9897,17587,,
11/09/2022,18:06:32,3,25.7,72,10775,19443,,
11/09/2022,18:06:32,1,26.5,95,6841,11076,,
11/09/2022,18:06:32,,25.65,83.5,11239.0,20450.0,1,1
11/09/2022,18:06:42,3,25.3,72,9306,16348,,
11/09/2022,18:06:42,1,26.5,95,6743,10851,,
11/09/2022,18:06:47,3,25.5,72,10620,19132,,
11/09/2022,18:06:47,1,26.4,95,6453,10244,,
11/09/2022,18:06:47,,25.9,83.5,8024.5,13599.5,1,1
11/09/2022,18:06:57,3,25.4,72,5716,8660,,
11/09/2022,18:06:57,1,25.9,95,6098,9470,,
