date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
08/10/2022,18:37:48,7,28.41802,76.15204,61.20671,19,11,15,17,,
08/10/2022,18:37:48,4,28.72511,76.1261,329.4442,14,9,13,13,,
08/10/2022,18:37:48,1,28.48478,76.38245,632.4216,81,9,13,13,,
08/10/2022,18:37:48,11,28.94675,76.86157,425.311,15,8,11,11,,
08/10/2022,18:37:53,7,28.402,76.28632,61.75131,19,10,14,15,,
08/10/2022,18:37:53,4,28.70908,76.13373,329.1287,14,8,11,11,,
08/10/2022,18:37:53,1,28.49813,76.45874,631.7054,81,9,13,13,,
08/10/2022,18:37:53,11,28.98947,76.84326,425.0033,15,8,11,11,,
08/10/2022,18:37:58,7,28.402,76.25732,58.64363,19,10,14,14,,
08/10/2022,18:37:58,4,28.70908,76.2085,328.4832,14,8,11,11,,
08/10/2022,18:37:58,1,28.49813,76.4267,631.9522,81,10,14,14,,
08/10/2022,18:37:58,11,29.00282,76.77002,425.0594,15,8,11,11,,
08/10/2022,18:38:03,7,28.43137,76.13525,55.08821,19,10,14,14,,
08/10/2022,18:38:03,4,28.75182,76.37634,328.4496,14,7,10,10,,
08/10/2022,18:38:03,1,28.51148,76.34125,632.0499,81,9,13,13,,
08/10/2022,18:38:03,11,29.0322,76.71204,425.4844,15,8,11,11,,
08/10/2022,18:38:03,,29.00282,76.86157,632.4216,81,11,15,17,-1,-1
08/10/2022,18:38:08,7,28.46075,76.0025,52.37076,19,9,13,13,,
08/10/2022,18:38:08,4,28.78119,76.24359,327.5436,14,7,10,10,,
08/10/2022,18:38:08,1,28.51148,76.3031,632.3344,81,9,13,13,,
08/10/2022,18:38:08,11,29.00282,76.62048,426.3444,15,8,11,11,,
08/10/2022,18:38:13,7,28.48745,75.92773,49.9736,19,9,13,13,,
08/10/2022,18:38:13,4,28.76517,76.16577,327.5235,14,7,10,10,,
08/10/2022,18:38:13,1,28.52483,76.26343,631.5412,81,9,13,13,,
08/10/2022,18:38:13,11,29.01884,76.5686,426.7232,15,8,11,11,,
08/10/2022,18:38:18,7,28.46075,75.8194,49.57435,19,9,13,13,,
08/10/2022,18:38:18,4,28.75182,76.12457,327.349,14,7,10,10,,
08/10/2022,18:38:18,1,28.55421,76.16272,631.2915,81,9,13,13,,
08/10/2022,18:38:18,11,29.01884,76.5686,427.5778,15,8,11,11,,
08/10/2022,18:38:18,,29.01884,76.62048,632.3344,81,9,13,13,-1,-1
08/10/2022,18:38:23,7,28.46075,75.79041,49.90958,19,9,13,13,,
08/10/2022,18:38:23,4,28.78119,76.13983,326.8403,14,7,10,10,,
08/10/2022,18:38:23,1,28.51148,76.11237,631.5312,81,8,11,11,,
08/10/2022,18:38:23,11,29.0322,76.55029,427.4471,15,8,11,11,,
08/10/2022,18:38:28,7,28.5008,75.84991,51.59591,19,9,13,13,,
08/10/2022,18:38:28,11,29.0589,76.52893,426.4766,15,8,11,11,,
08/10/2022,18:38:28,4,28.79454,76.04218,326.0221,14,6,9,9,,
08/10/2022,18:38:28,1,28.52483,76.1261,632.1512,81,8,11,11,,
08/10/2022,18:38:33,7,28.48745,75.85602,52.02199,19,9,13,13,,
08/10/2022,18:38:33,4,28.79454,76.04218,325.4433,14,6,9,9,,
08/10/2022,18:38:33,1,28.52483,76.20392,632.6218,81,8,11,11,,
08/10/2022,18:38:33,11,29.0322,76.52283,426.7973,15,7,10,10,,
08/10/2022,18:38:33,,29.0589,76.55029,632.1512,81,9,13,13,-1,-1
08/10/2022,18:38:38,7,28.51682,75.82245,50.51912,19,8,11,11,,
08/10/2022,18:38:38,11,28.98947,76.65253,427.94,15,13,18,19,,
08/10/2022,18:38:38,4,28.78119,76.07574,324.3957,14,6,8,8,,
08/10/2022,18:38:38,1,28.55421,76.22223,632.8463,81,9,13,13,,
08/10/2022,18:38:43,7,28.5008,75.70801,50.26265,19,8,11,11,,
08/10/2022,18:38:43,11,29.00282,76.7334,427.6084,15,157,42,68,,
08/10/2022,18:38:43,4,28.78119,76.04675,323.1949,14,6,8,8,,
08/10/2022,18:38:43,1,28.55421,76.16272,633.1307,81,9,13,13,,
08/10/2022,18:38:48,7,28.55688,75.72784,50.83931,19,8,11,11,,
08/10/2022,18:38:48,11,28.96277,76.93024,428.2016,15,114,213,105,,
08/10/2022,18:38:48,4,28.76517,76.05286,323.2879,14,6,8,8,,
08/10/2022,18:38:48,1,28.56756,76.04828,632.4394,81,9,13,13,,
08/10/2022,18:38:48,,29.00282,76.7334,633.1307,81,157,42,68,1,1
08/10/2022,18:38:53,7,28.55688,75.75989,50.98056,19,8,11,11,,
08/10/2022,18:38:53,11,28.94675,77.0401,427.6609,15,119,223,132,,
08/10/2022,18:38:53,4,28.76517,76.12915,323.387,14,6,8,8,,
08/10/2022,18:38:58,7,28.51682,75.96436,50.21013,19,7,10,10,,
08/10/2022,18:38:58,11,28.96277,76.90887,427.7269,15,67,121,125,,
08/10/2022,18:38:58,4,28.75182,76.15356,323.2076,14,6,8,8,,
08/10/2022,18:38:58,1,28.55421,76.43127,633.3725,81,9,13,13,,
08/10/2022,18:39:03,7,28.48745,75.93842,50.04419,19,204,143,51,,
08/10/2022,18:39:03,1,28.59693,76.75781,635.1688,81,8,11,11,,
08/10/2022,18:39:03,4,28.78119,76.16119,322.5562,14,7,10,10,,
08/10/2022,18:39:03,11,29.01884,76.83868,427.826,15,18,24,224,,
08/10/2022,18:39:03,,28.96277,77.0401,633.3725,81,119,223,132,1,1
08/10/2022,18:39:08,7,28.48745,75.99792,46.15371,19,204,143,51,,
08/10/2022,18:39:08,1,28.56756,76.68304,634.2545,81,8,11,11,,
08/10/2022,18:39:08,4,28.78119,76.11237,322.5865,14,12,17,19,,
08/10/2022,18:39:08,11,29.01884,76.74408,427.8871,15,5,254,90,,
08/10/2022,18:39:13,7,28.51682,76.01624,47.10324,19,204,143,51,,
08/10/2022,18:39:13,1,28.61028,76.64337,634.6631,81,8,11,11,,
08/10/2022,18:39:13,4,28.76517,76.08948,322.2473,14,13,18,21,,
08/10/2022,18:39:13,11,29.00282,76.77002,428.2899,15,40,59,70,,
08/10/2022,18:39:18,7,28.54353,76.02386,46.90249,19,204,143,51,,
08/10/2022,18:39:18,1,28.55421,76.50909,634.6973,81,8,11,11,,
08/10/2022,18:39:18,4,28.79454,76.06964,320.9028,14,13,18,21,,
08/10/2022,18:39:18,11,29.00282,76.77917,428.5361,15,8,11,11,,
08/10/2022,18:39:18,,29.01884,76.77002,634.6631,81,204,254,90,1,1
08/10/2022,18:39:23,7,28.53017,76.05743,51.10854,19,204,143,51,,
08/10/2022,18:39:23,1,28.55421,76.40991,632.882,81,8,11,11,,
08/10/2022,18:39:23,4,28.82391,76.11237,321.1404,14,12,17,20,,
08/10/2022,18:39:23,11,28.97612,76.78375,428.5317,15,109,209,163,,
08/10/2022,18:39:28,7,28.55688,76.14441,49.97187,19,204,143,51,,
08/10/2022,18:39:28,1,28.55421,76.3504,631.871,81,7,10,10,,
08/10/2022,18:39:28,4,28.80789,76.0437,320.5759,14,12,17,20,,
08/10/2022,18:39:28,11,29.0322,76.76697,427.7523,15,215,163,86,,
08/10/2022,18:39:33,7,28.55688,76.25427,43.79788,19,204,143,51,,
08/10/2022,18:39:33,1,28.55421,76.26343,631.0214,81,7,10,10,,
08/10/2022,18:39:33,4,28.80789,76.13831,322.8077,14,11,16,18,,
08/10/2022,18:39:33,11,29.0322,76.74866,427.5711,15,144,22,88,,
08/10/2022,18:39:33,,29.0322,76.78375,632.882,81,215,209,163,1,1
08/10/2022,18:39:38,7,28.54353,76.19019,40.00667,19,204,143,51,,
08/10/2022,18:39:38,1,28.52483,76.58386,631.7505,81,7,10,10,,
08/10/2022,18:39:38,11,29.0589,76.67847,426.6203,15,156,47,163,,
08/10/2022,18:39:43,7,28.53017,76.14746,50.04464,19,204,143,51,,
08/10/2022,18:39:43,1,28.58091,76.62506,631.2115,81,8,11,11,,
08/10/2022,18:39:43,4,28.85062,76.08337,322.6937,14,10,14,14,,
08/10/2022,18:39:43,11,29.0322,76.66473,426.7263,15,141,17,75,,
08/10/2022,18:39:48,7,28.54353,76.12152,48.09487,19,204,143,51,,
08/10/2022,18:39:48,1,28.56756,76.62048,631.4965,81,8,11,11,,
08/10/2022,18:39:48,4,28.80789,76.11084,322.8738,14,9,13,13,,
08/10/2022,18:39:48,11,29.00282,76.71204,427.502,15,240,213,97,,
08/10/2022,18:39:48,,29.0589,76.67847,631.7505,81,204,143,163,1,1
08/10/2022,18:39:53,7,28.53017,76.19781,47.8304,19,204,143,51,,
08/10/2022,18:39:53,1,28.54086,76.84479,631.6517,81,8,11,11,,
08/10/2022,18:39:53,4,28.82391,76.02844,323.4444,14,119,198,251,,
08/10/2022,18:39:53,11,28.98947,76.8158,427.6249,15,230,192,231,,
08/10/2022,18:39:58,7,28.5729,76.17645,36.76514,19,204,143,51,,
