date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
09/10/2022,14:22:40,7,31.85741,56.02417,59.73907,19,7,10,10,,
09/10/2022,14:22:40,11,31.93752,56.89697,439.8967,15,8,11,11,,
09/10/2022,14:22:40,4,31.62508,57.13196,331.7287,14,6,9,9,,
09/10/2022,14:22:45,7,31.85741,56.02417,58.51597,19,7,10,10,,
09/10/2022,14:22:45,11,31.93752,56.92902,440.3816,15,8,11,11,,
09/10/2022,14:22:45,4,31.62508,57.20825,331.0938,14,6,8,8,,
09/10/2022,14:22:50,7,31.84406,56.05621,58.42155,19,7,10,10,,
09/10/2022,14:22:50,11,31.93752,56.91681,439.4557,15,8,11,11,,
09/10/2022,14:22:50,4,31.61173,57.13043,331.7643,14,6,8,8,,
09/10/2022,14:22:55,7,31.87076,55.94635,58.3371,19,7,10,10,,
09/10/2022,14:22:55,11,31.95087,56.90765,439.7742,15,8,11,11,,
09/10/2022,14:22:55,4,31.61173,57.03125,333.804,14,6,8,8,,
09/10/2022,14:22:55,,31.93752,57.20825,440.3816,19,8,11,11,-1,-1
09/10/2022,14:23:00,7,31.88678,55.85785,57.39757,19,7,10,10,,
09/10/2022,14:23:00,11,31.93752,56.96106,439.5615,15,7,10,10,,
09/10/2022,14:23:01,4,31.61173,57.04346,334.3365,14,6,8,8,,
09/10/2022,14:23:06,7,31.90013,55.79987,57.40904,19,7,10,10,,
09/10/2022,14:23:06,11,31.93752,56.9931,440.2679,15,7,10,10,,
09/10/2022,14:23:06,4,31.59838,57.20367,335.8084,14,6,9,9,,
09/10/2022,14:23:11,7,31.85741,55.82733,58.62345,19,7,10,10,,
09/10/2022,14:23:11,11,31.95087,56.93054,440.6723,15,7,10,10,,
09/10/2022,14:23:11,4,31.58236,57.61108,336.5803,14,6,8,8,,
09/10/2022,14:23:11,,31.93752,57.20367,440.2679,19,7,10,10,-1,-1
09/10/2022,14:23:16,7,31.87076,55.91278,59.02699,19,7,10,10,,
09/10/2022,14:23:16,11,31.92416,56.95801,441.6739,15,7,10,10,,
09/10/2022,14:23:16,4,31.61173,57.74536,337.0258,14,6,8,8,,
09/10/2022,14:23:21,7,31.90013,55.97382,59.0752,19,7,10,10,,
09/10/2022,14:23:21,11,31.92416,56.9809,441.6519,15,7,10,10,,
09/10/2022,14:23:21,4,31.58236,57.901,336.9264,14,6,8,8,,
09/10/2022,14:23:26,7,31.91348,55.95398,59.02403,19,7,10,10,,
09/10/2022,14:23:26,1,31.71053,56.20117,634.4675,78,9,13,13,,
09/10/2022,14:23:26,11,31.89479,57.00836,442.2983,15,7,10,10,,
09/10/2022,14:23:26,4,31.56901,57.69501,337.3163,14,6,8,8,,
09/10/2022,14:23:26,,31.92416,57.901,441.6739,19,7,10,10,-1,-1
09/10/2022,14:23:31,7,31.90013,55.90363,58.83102,19,7,10,10,,
09/10/2022,14:23:31,1,31.72388,56.19202,672.7286,78,9,13,13,,
09/10/2022,14:23:31,11,31.88144,57.10449,442.4747,15,8,11,11,,
09/10/2022,14:23:31,4,31.55299,57.89642,337.2567,14,6,8,8,,
09/10/2022,14:23:36,7,31.90013,55.81207,58.71903,19,7,10,10,,
09/10/2022,14:23:36,1,31.71053,56.23474,662.2068,78,9,13,13,,
09/10/2022,14:23:36,11,31.88144,57.18079,442.7504,15,7,10,10,,
09/10/2022,14:23:36,4,31.55299,58.12531,336.6622,14,6,8,8,,
09/10/2022,14:23:41,7,31.88678,55.85785,58.44991,19,7,10,10,,
09/10/2022,14:23:41,1,31.7506,56.32019,658.7397,78,10,14,14,,
09/10/2022,14:23:41,11,31.86809,57.13654,441.6625,15,7,10,10,,
09/10/2022,14:23:41,4,31.58236,58.03223,335.8995,14,6,8,8,,
09/10/2022,14:23:41,,31.90013,58.12531,672.7286,78,9,13,13,-1,-1
09/10/2022,14:23:46,7,31.90013,55.79987,57.88367,19,7,10,10,,
09/10/2022,14:23:46,1,31.7506,56.29883,664.4909,78,9,13,13,,
09/10/2022,14:23:46,11,31.83871,57.09839,443.0319,15,7,10,10,,
09/10/2022,14:23:46,4,31.59838,57.38678,336.2129,14,6,8,8,,
09/10/2022,14:23:51,7,31.9295,55.75867,57.05864,19,7,10,10,,
09/10/2022,14:23:51,1,31.76662,56.23016,666.8673,78,9,13,13,,
09/10/2022,14:23:51,11,31.83871,57.2403,442.3188,15,7,10,10,,
09/10/2022,14:23:51,4,31.58236,57.43713,335.1604,14,6,8,8,,
09/10/2022,14:23:56,7,31.94286,55.72662,56.63586,19,7,10,10,,
09/10/2022,14:23:56,1,31.7506,56.17065,661.3407,78,9,13,13,,
09/10/2022,14:23:56,11,31.85207,57.24182,442.0646,15,7,10,10,,
09/10/2022,14:23:56,4,31.58236,57.901,334.8257,14,6,9,9,,
09/10/2022,14:23:56,,31.9295,57.43713,666.8673,78,9,13,13,-1,-1
09/10/2022,14:24:01,7,31.95621,55.75256,56.79948,19,7,10,10,,
09/10/2022,14:24:01,1,31.77997,56.18744,655.366,78,9,13,13,,
09/10/2022,14:24:01,11,31.89479,57.28149,441.7352,15,7,10,10,,
09/10/2022,14:24:01,4,31.52361,58.1192,334.7835,14,6,9,9,,
09/10/2022,14:24:06,7,31.96956,55.74036,57.23182,19,7,10,10,,
09/10/2022,14:24:06,1,31.76662,56.11572,657.4094,78,9,13,13,,
09/10/2022,14:24:06,11,31.90814,57.3288,441.0218,15,7,10,10,,
09/10/2022,14:24:06,4,31.58236,57.76215,333.3817,14,6,8,8,,
09/10/2022,14:24:11,7,31.96956,55.6839,57.48032,19,7,10,10,,
09/10/2022,14:24:11,1,31.76662,56.04706,655.6829,78,9,13,13,,
09/10/2022,14:24:11,11,31.90814,57.33795,440.8761,15,7,10,10,,
09/10/2022,14:24:11,4,31.55299,57.69348,334.0296,14,6,8,8,,
09/10/2022,14:24:11,,31.96956,58.1192,657.4094,78,9,13,13,-1,-1
09/10/2022,14:24:16,7,31.96956,55.63507,57.83861,19,7,10,10,,
09/10/2022,14:24:16,1,31.76662,56.04706,651.2668,78,26,39,48,,
09/10/2022,14:24:16,11,31.90814,57.2403,441.8923,15,8,11,11,,
09/10/2022,14:24:16,4,31.53963,57.79877,335.1747,14,6,8,8,,
09/10/2022,14:24:21,7,31.96956,55.56946,58.41649,19,7,10,10,,
09/10/2022,14:24:21,1,31.76662,56.16455,652.4601,78,120,231,218,,
09/10/2022,14:24:21,11,31.90814,57.17621,441.457,15,17,25,29,,
09/10/2022,14:24:21,4,31.52361,58.01086,336.2086,14,6,8,8,,
09/10/2022,14:24:26,7,31.98558,55.57098,59.33158,19,7,10,10,,
09/10/2022,14:24:26,11,31.85207,57.23114,443.3929,15,171,76,253,,
09/10/2022,14:24:26,4,31.52361,58.77838,336.8474,14,6,8,8,,
09/10/2022,14:24:26,,31.96956,58.01086,652.4601,78,120,231,218,1,1
09/10/2022,14:24:31,7,31.96956,55.78918,60.13765,19,186,105,246,,
09/10/2022,14:24:31,1,31.77997,56.93817,648.9536,78,112,210,97,,
09/10/2022,14:24:31,11,31.78264,57.56989,444.2069,15,245,222,157,,
09/10/2022,14:24:31,4,31.49691,58.7204,336.751,14,6,8,8,,
09/10/2022,14:24:36,7,31.81468,56.07758,59.5716,19,204,143,51,,
09/10/2022,14:24:36,1,31.77997,56.92596,647.1087,78,111,208,92,,
09/10/2022,14:24:36,11,31.76929,57.64465,444.4073,15,204,141,244,,
09/10/2022,14:24:36,4,31.48089,58.85773,337.2048,14,143,249,67,,
09/10/2022,14:24:41,7,31.85741,56.31561,57.77035,19,204,143,51,,
09/10/2022,14:24:41,1,31.80667,56.89392,642.749,78,111,208,92,,
09/10/2022,14:24:41,11,31.75327,57.69806,443.9564,15,50,87,38,,
09/10/2022,14:24:41,4,31.52361,58.15277,338.5334,14,202,137,227,,
09/10/2022,14:24:41,,31.96956,58.85773,648.9536,78,245,249,246,1,1
09/10/2022,14:24:46,7,31.88678,56.30798,56.58738,19,204,143,51,,
09/10/2022,14:24:46,1,31.80667,56.82831,641.165,78,248,228,195,,
09/10/2022,14:24:46,11,31.75327,57.7301,447.9034,15,247,226,177,,
09/10/2022,14:24:46,4,31.55299,57.89642,340.9462,14,236,204,45,,
09/10/2022,14:24:51,7,31.85741,56.31561,58.12182,19,169,57,166,,
09/10/2022,14:24:51,1,31.77997,56.4209,634.4441,78,32,51,119,,
09/10/2022,14:24:51,11,31.76929,57.78656,444.4792,15,222,177,153,,
09/10/2022,14:24:51,4,31.48089,58.07037,347.6342,14,214,161,79,,
09/10/2022,14:24:56,7,31.91348,56.32477,56.3104,19,76,118,144,,
09/10/2022,14:24:56,1,31.8494,56.36139,632.6387,78,78,143,181,,
09/10/2022,14:24:56,4,31.38476,58.20618,349.3514,14,136,7,46,,
09/10/2022,14:24:56,,31.88678,58.07037,641.165,78,248,228,195,1,1
09/10/2022,14:25:01,7,31.88678,56.33087,56.97902,19,34,50,59,,
09/10/2022,14:25:01,1,31.83604,56.28967,635.0177,78,214,161,74,,
09/10/2022,14:25:01,11,31.80934,57.43256,445.0334,15,219,171,125,,
