date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
11/09/2022,16:56:55,1,26.2,95,1601,246,,
11/09/2022,16:56:55,3,24.6,73,1548,206,,
11/09/2022,16:57:05,3,24.6,73,1536,196,,
11/09/2022,16:57:05,1,25.8,95,1550,207,,
11/09/2022,16:57:10,3,23.7,71,1519,184,,
11/09/2022,16:57:10,1,26.3,95,1495,166,,
11/09/2022,16:57:10,,25.2,83.66666666666667,1541.5,200.83333333333334,1,-1
11/09/2022,16:57:20,3,23.7,72,1520,185,,
11/09/2022,16:57:20,1,26,95,1516,182,,
11/09/2022,16:57:25,3,23.7,72,1543,201,,
11/09/2022,16:57:25,1,26.2,95,1531,193,,
11/09/2022,16:57:25,,24.9,83.5,1527.5,190.25,1,-1
11/09/2022,16:57:30,1,25.6,95,1544,203,,
11/09/2022,16:57:30,3,23.8,71,1539,198,,
11/09/2022,16:57:40,3,23.7,72,1543,201,,
11/09/2022,16:57:40,1,26.3,95,1638,280,,
11/09/2022,16:57:40,,24.85,83.25,1566.0,220.5,1,-1
11/09/2022,16:57:55,3,24.4,72,407,1,,
11/09/2022,16:57:55,1,26.2,95,1540,199,,
11/09/2022,16:57:55,,25.299999999999997,83.5,973.5,100.0,-1,-1
11/09/2022,16:58:05,1,25.8,95,400,0,,
11/09/2022,16:58:05,3,24,73,470,10,,
11/09/2022,16:58:10,1,25.9,95,410,1,,
11/09/2022,16:58:10,3,24.7,73,447,7,,
11/09/2022,16:58:10,,25.099999999999998,84.0,431.75,4.5,-1,-1
11/09/2022,16:58:20,3,23.9,72,428,4,,
11/09/2022,16:58:20,1,25.7,95,400,0,,
11/09/2022,16:58:25,1,26.2,95,409,1,,
11/09/2022,16:58:25,3,24.1,73,441,6,,
11/09/2022,16:58:25,,24.974999999999998,83.75,419.5,2.75,-1,-1
11/09/2022,16:58:35,3,23.8,72,413,1,,
11/09/2022,16:58:35,1,26.2,95,422,3,,
11/09/2022,16:58:40,1,25.9,95,452,7,,
11/09/2022,16:58:40,3,23.8,72,407,1,,
11/09/2022,16:58:40,,24.925,83.5,423.5,3.0,-1,-1
11/09/2022,16:58:50,3,23.8,72,410,1,,
11/09/2022,16:58:50,1,26.3,95,508,16,,
11/09/2022,16:58:55,1,26.2,95,457,8,,
11/09/2022,16:58:55,3,24,73,424,3,,
11/09/2022,16:58:55,,25.075000000000003,83.75,449.75,7.0,-1,-1
11/09/2022,16:59:05,3,23.9,72,400,0,,
11/09/2022,16:59:05,1,26.2,95,400,0,,
11/09/2022,16:59:10,1,25.6,95,400,0,,
11/09/2022,16:59:10,3,23.8,72,407,1,,
11/09/2022,16:59:10,,24.875,83.5,401.75,0.25,-1,-1
11/09/2022,16:59:20,3,23.8,72,420,3,,
11/09/2022,16:59:20,1,26.3,95,414,2,,
11/09/2022,16:59:25,1,25.9,95,414,2,,
11/09/2022,16:59:25,3,23.9,72,423,3,,
11/09/2022,16:59:25,,24.975,83.5,417.75,2.5,-1,-1
11/09/2022,16:59:35,3,24,73,472,10,,
11/09/2022,16:59:35,1,26.2,95,414,2,,
11/09/2022,16:59:40,1,26.1,95,423,3,,
11/09/2022,16:59:40,3,23.8,71,503,15,,
11/09/2022,16:59:40,,25.025000000000002,83.5,453.0,7.5,-1,-1
11/09/2022,16:59:55,3,23.8,71,485,12,,
11/09/2022,16:59:55,1,26.2,95,454,8,,
11/09/2022,16:59:55,,25.0,83.0,469.5,10.0,-1,-1
11/09/2022,17:00:00,1,26.3,95,485,12,,
11/09/2022,17:00:00,3,24.7,72,466,10,,
11/09/2022,17:00:10,3,25.7,72,460,9,,
11/09/2022,17:00:10,1,25.9,95,475,11,,
11/09/2022,17:00:10,,25.65,83.5,471.5,10.5,-1,-1
11/09/2022,17:00:15,1,25.7,95,423,3,,
11/09/2022,17:00:15,3,25.7,72,472,10,,
11/09/2022,17:00:25,3,23.8,71,476,11,,
11/09/2022,17:00:25,1,26.2,95,463,9,,
11/09/2022,17:00:25,,25.35,83.25,458.5,8.25,-1,-1
11/09/2022,17:00:30,1,26.2,95,476,11,,
11/09/2022,17:00:30,3,23.8,71,486,13,,
11/09/2022,17:00:40,3,23.8,71,486,13,,
11/09/2022,17:00:40,1,26.2,95,413,0,,
11/09/2022,17:00:40,,25.0,83.0,465.25,9.25,-1,-1
11/09/2022,17:00:45,1,25.7,95,415,2,,
11/09/2022,17:00:45,3,23.8,71,486,13,,
11/09/2022,17:00:55,3,23.8,71,455,8,,
11/09/2022,17:00:55,1,25.6,95,403,0,,
11/09/2022,17:00:55,,24.725,83.0,439.75,5.75,-1,-1
11/09/2022,17:01:00,1,26.3,95,400,0,,
11/09/2022,17:01:00,3,23.9,71,441,6,,
11/09/2022,17:01:10,3,23.9,71,410,1,,
11/09/2022,17:01:10,1,26.3,95,427,4,,
11/09/2022,17:01:10,,25.1,83.0,419.5,2.75,-1,-1
11/09/2022,17:01:15,1,26.2,95,421,3,,
11/09/2022,17:01:15,3,23.8,71,416,2,,
11/09/2022,17:01:25,3,23.8,71,422,3,,
11/09/2022,17:01:25,1,26.2,95,415,2,,
11/09/2022,17:01:25,,25.0,83.0,418.5,2.5,-1,-1
11/09/2022,17:01:30,1,26.2,95,400,0,,
11/09/2022,17:01:30,3,23.9,71,427,4,,
11/09/2022,17:01:40,3,23.7,71,446,7,,
11/09/2022,17:01:40,1,26.5,95,699,45,,
11/09/2022,17:01:40,,25.075,83.0,493.0,14.0,-1,-1
11/09/2022,17:01:45,1,26.3,95,596,29,,
11/09/2022,17:01:45,3,24,72,400,0,,
11/09/2022,17:01:55,3,23.7,71,448,7,,
11/09/2022,17:01:55,1,26.3,95,633,35,,
11/09/2022,17:01:55,,25.075,83.25,519.25,17.75,-1,-1
11/09/2022,17:02:00,1,26.3,95,589,28,,
11/09/2022,17:02:00,3,23.8,71,409,1,,
11/09/2022,17:02:10,3,23.8,71,465,9,,
11/09/2022,17:02:10,1,26.3,95,476,11,,
11/09/2022,17:02:10,,25.05,83.0,484.75,12.25,-1,-1
11/09/2022,17:02:15,1,26.3,95,518,17,,
11/09/2022,17:02:15,3,24.7,72,472,10,,
11/09/2022,17:02:25,3,23.8,71,493,14,,
11/09/2022,17:02:25,1,26.2,95,435,5,,
11/09/2022,17:02:25,,25.25,83.25,479.5,11.5,-1,-1
11/09/2022,17:02:30,1,26.3,95,411,1,,
11/09/2022,17:02:30,3,23.8,71,455,8,,
11/09/2022,17:02:41,3,23.8,72,400,0,,
11/09/2022,17:02:41,1,26.2,95,414,2,,
11/09/2022,17:02:41,,25.025,83.25,420.0,2.75,-1,-1
11/09/2022,17:02:46,3,23.8,71,401,0,,
11/09/2022,17:02:46,1,26.3,95,427,4,,
11/09/2022,17:02:56,3,23.9,71,409,1,,
11/09/2022,17:02:56,1,26.3,95,439,5,,
11/09/2022,17:02:56,,25.075000000000003,83.0,419.0,2.5,-1,-1
11/09/2022,17:03:01,3,24.1,72,400,0,,
11/09/2022,17:03:01,1,26.3,95,561,24,,
11/09/2022,17:03:11,3,24.1,72,434,5,,
11/09/2022,17:03:11,1,26.3,95,699,45,,
11/09/2022,17:03:11,,25.200000000000003,83.5,523.5,18.5,-1,-1
