date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
11/09/2022,17:29:12,3,25.4,70,491,13,,
11/09/2022,17:29:12,1,26,95,834,66,,
11/09/2022,17:29:17,3,25.4,70,476,11,,
11/09/2022,17:29:17,1,26.2,95,834,66,,
11/09/2022,17:29:27,3,25.4,70,455,8,,
11/09/2022,17:29:27,1,25.9,95,857,69,,
11/09/2022,17:29:27,,25.716666666666665,82.5,657.8333333333334,38.833333333333336,-1,-1
11/09/2022,17:29:32,3,25.4,70,455,8,,
11/09/2022,17:29:32,1,26,95,844,67,,
11/09/2022,17:29:42,3,25.3,70,457,8,,
11/09/2022,17:29:42,1,25.8,95,813,62,,
11/09/2022,17:29:42,,25.625,82.5,642.25,36.25,-1,-1
11/09/2022,17:29:47,3,25.5,70,457,8,,
11/09/2022,17:29:47,1,26,95,804,61,,
11/09/2022,17:29:57,3,25.4,70,863,70,,
11/09/2022,17:29:57,1,26.2,95,774,56,,
11/09/2022,17:29:57,,25.775,82.5,724.5,48.75,-1,-1
11/09/2022,17:30:02,3,25.4,70,1074,102,,
11/09/2022,17:30:02,1,26,95,765,55,,
11/09/2022,17:30:12,3,25.3,70,1376,148,,
11/09/2022,17:30:12,1,26,95,795,60,,
11/09/2022,17:30:12,,25.674999999999997,82.5,1002.5,91.25,-1,-1
11/09/2022,17:30:17,3,25.5,70,1376,148,,
11/09/2022,17:30:17,1,25.9,95,813,62,,
11/09/2022,17:30:27,3,25.5,70,1291,135,,
11/09/2022,17:30:27,1,26,95,880,73,,
11/09/2022,17:30:27,,25.725,82.5,1090.0,104.5,0,-1
11/09/2022,17:30:32,3,25.4,70,1255,130,,
11/09/2022,17:30:32,1,26,95,880,73,,
11/09/2022,17:30:42,3,25.5,70,1235,127,,
11/09/2022,17:30:42,1,26,95,844,67,,
11/09/2022,17:30:42,,25.725,82.5,1053.5,99.25,0,-1
11/09/2022,17:30:47,3,25.5,70,1171,117,,
11/09/2022,17:30:47,1,25.9,95,870,71,,
11/09/2022,17:30:57,3,25.3,70,1341,143,,
11/09/2022,17:30:57,1,25.9,95,913,78,,
11/09/2022,17:30:57,,25.65,82.5,1073.75,102.25,0,-1
11/09/2022,17:31:02,3,25.4,70,1416,154,,
11/09/2022,17:31:02,1,26.2,95,923,79,,
11/09/2022,17:31:12,3,25.4,70,1416,154,,
11/09/2022,17:31:12,1,26,95,987,89,,
11/09/2022,17:31:12,,25.75,82.5,1185.5,119.0,0,-1
11/09/2022,17:31:17,3,25.5,70,1352,145,,
11/09/2022,17:31:17,1,25.9,95,987,89,,
11/09/2022,17:31:27,3,25.3,70,1181,118,,
11/09/2022,17:31:27,1,25.9,95,959,85,,
11/09/2022,17:31:27,,25.65,82.5,1119.75,109.25,0,-1
11/09/2022,17:31:33,3,25.2,70,1144,113,,
11/09/2022,17:31:33,1,26.2,95,970,86,,
11/09/2022,17:31:43,3,25.3,70,1053,99,,
11/09/2022,17:31:43,1,26,95,1068,101,,
11/09/2022,17:31:43,,25.674999999999997,82.5,1058.75,99.75,0,-1
11/09/2022,17:31:48,3,25.3,70,1012,93,,
11/09/2022,17:31:48,1,26.2,95,1191,120,,
11/09/2022,17:31:58,3,25.5,70,977,87,,
11/09/2022,17:31:58,1,26.3,95,1310,138,,
11/09/2022,17:31:58,,25.825,82.5,1122.5,109.5,0,-1
11/09/2022,17:32:03,3,25.3,70,935,81,,
11/09/2022,17:32:03,1,26.2,95,1408,153,,
11/09/2022,17:32:08,3,25.3,70,945,83,,
11/09/2022,17:32:08,1,26,95,1474,163,,
11/09/2022,17:32:13,3,25.2,70,915,78,,
11/09/2022,17:32:13,1,25.9,95,1496,169,,
11/09/2022,17:32:13,,25.649999999999995,82.5,1195.5,121.16666666666667,0,-1
11/09/2022,17:32:23,3,25.5,70,880,73,,
11/09/2022,17:32:23,1,25.9,95,1544,203,,
11/09/2022,17:32:28,3,25.4,70,872,71,,
11/09/2022,17:32:28,1,25.9,95,1556,211,,
11/09/2022,17:32:28,,25.674999999999997,82.5,1213.0,139.5,0,-1
11/09/2022,17:32:38,3,25.3,70,872,71,,
11/09/2022,17:32:38,1,25.9,95,1587,234,,
11/09/2022,17:32:43,3,25.2,70,863,70,,
11/09/2022,17:32:43,1,26.3,95,1597,242,,
11/09/2022,17:32:43,,25.675,82.5,1229.75,154.25,0,-1
11/09/2022,17:32:53,3,25.3,70,885,73,,
11/09/2022,17:32:53,1,25.8,95,1608,254,,
11/09/2022,17:33:03,3,25.5,70,872,71,,
11/09/2022,17:33:03,1,25.9,95,1621,265,,
11/09/2022,17:33:03,,25.625,82.5,1246.5,165.75,0,-1
11/09/2022,17:33:13,3,25.2,70,872,71,,
11/09/2022,17:33:13,1,26.2,95,1614,258,,
11/09/2022,17:33:18,3,25.4,70,872,71,,
11/09/2022,17:33:18,1,26.2,95,1625,268,,
11/09/2022,17:33:18,,25.75,82.5,1245.75,167.0,0,-1
11/09/2022,17:33:28,3,25.3,70,880,73,,
11/09/2022,17:33:28,1,26,95,1682,321,,
11/09/2022,17:33:33,3,25.2,70,853,69,,
11/09/2022,17:33:33,1,25.8,95,1689,327,,
11/09/2022,17:33:33,,25.575,82.5,1276.0,197.5,0,-1
11/09/2022,17:33:43,3,25.4,70,853,69,,
11/09/2022,17:33:43,1,25.9,95,1707,346,,
