date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
11/09/2022,17:14:40,1,26.2,95,443,6,,
11/09/2022,17:14:40,3,25.7,70,629,34,,
11/09/2022,17:14:45,1,26.2,95,447,7,,
11/09/2022,17:14:45,3,25.8,70,620,33,,
11/09/2022,17:14:50,1,26.4,95,447,7,,
11/09/2022,17:14:50,3,25.8,70,615,32,,
11/09/2022,17:15:00,3,25.6,70,637,36,,
11/09/2022,17:15:00,1,26.5,95,443,6,,
11/09/2022,17:15:00,,26.025,82.5,535.125,20.125,-1,-1
11/09/2022,17:15:05,1,26.3,95,438,5,,
11/09/2022,17:15:05,3,25.6,70,624,34,,
11/09/2022,17:15:15,3,25.6,70,594,29,,
11/09/2022,17:15:15,1,26,95,400,0,,
11/09/2022,17:15:15,,25.875,82.5,514.0,17.0,-1,-1
11/09/2022,17:15:20,1,26.3,95,400,0,,
11/09/2022,17:15:20,3,25.7,70,615,32,,
11/09/2022,17:15:30,3,25.7,70,629,34,,
11/09/2022,17:15:30,1,26.1,95,407,1,,
11/09/2022,17:15:30,,25.95,82.5,512.75,16.75,-1,-1
11/09/2022,17:15:35,1,26.3,95,409,1,,
11/09/2022,17:15:35,3,25.7,70,602,30,,
11/09/2022,17:15:45,3,25.8,70,476,11,,
11/09/2022,17:15:45,1,26.1,95,400,0,,
11/09/2022,17:15:45,,25.975,82.5,471.75,10.5,-1,-1
11/09/2022,17:15:50,1,26.2,95,400,0,,
11/09/2022,17:15:50,3,25.5,70,400,0,,
11/09/2022,17:16:00,3,25.9,70,456,8,,
11/09/2022,17:16:00,1,26.2,95,400,0,,
11/09/2022,17:16:00,,25.95,82.5,414.0,2.0,-1,-1
11/09/2022,17:16:05,1,26,95,403,0,,
11/09/2022,17:16:05,3,26.2,72,552,23,,
11/09/2022,17:16:15,3,26,71,1657,296,,
11/09/2022,17:16:15,1,26.1,95,400,0,,
11/09/2022,17:16:15,,26.075000000000003,83.25,753.0,79.75,-1,-1
11/09/2022,17:16:20,1,26.1,95,405,0,,
11/09/2022,17:16:20,3,26.2,71,1537,197,,
11/09/2022,17:16:30,3,25.6,71,1865,536,,
11/09/2022,17:16:30,1,26.2,95,405,0,,
11/09/2022,17:16:30,,26.025,83.0,1053.0,183.25,0,-1
11/09/2022,17:16:35,3,25.6,71,1825,481,,
11/09/2022,17:16:35,1,26.3,95,405,0,,
11/09/2022,17:16:45,3,25.7,70,1790,439,,
11/09/2022,17:16:45,1,26,95,405,0,,
11/09/2022,17:16:45,,25.900000000000002,82.75,1106.25,230.0,0,-1
11/09/2022,17:16:50,3,25.7,70,1784,432,,
11/09/2022,17:16:50,1,26,95,400,0,,
11/09/2022,17:16:55,1,26,95,400,0,,
11/09/2022,17:16:55,3,25.8,80,1777,424,,
11/09/2022,17:17:05,3,26,73,1790,439,,
11/09/2022,17:17:05,1,26.2,95,400,0,,
11/09/2022,17:17:05,,25.95,84.66666666666667,1091.8333333333333,215.83333333333334,0,-1
11/09/2022,17:17:10,1,26.2,95,400,0,,
11/09/2022,17:17:10,3,26,72,1772,417,,
11/09/2022,17:17:20,3,26.1,70,1772,417,,
11/09/2022,17:17:20,1,26,95,400,0,,
11/09/2022,17:17:20,,26.075000000000003,83.0,1086.0,208.5,0,-1
11/09/2022,17:17:25,1,26.2,95,400,0,,
11/09/2022,17:17:25,3,26.1,70,1767,411,,
11/09/2022,17:17:35,3,26.1,69,1710,336,,
11/09/2022,17:17:35,1,26.3,95,408,1,,
11/09/2022,17:17:35,,26.175,82.25,1071.25,187.0,0,-1
11/09/2022,17:17:40,3,26.1,69,1680,319,,
11/09/2022,17:17:40,1,26.2,95,400,0,,
11/09/2022,17:17:50,3,26.1,69,1680,319,,
11/09/2022,17:17:50,1,26.3,95,405,0,,
11/09/2022,17:17:50,,26.175,82.0,1041.25,159.5,-1,-1
11/09/2022,17:17:55,3,26,69,1676,314,,
11/09/2022,17:17:55,1,26,95,400,0,,
11/09/2022,17:18:05,3,25.9,68,1692,331,,
11/09/2022,17:18:05,1,26.6,95,400,0,,
11/09/2022,17:18:05,,26.125,81.75,1042.0,161.25,-1,-1
11/09/2022,17:18:10,3,25.9,68,1680,319,,
11/09/2022,17:18:10,1,26,95,400,0,,
11/09/2022,17:18:20,3,25.9,69,1686,325,,
11/09/2022,17:18:20,1,26.3,95,406,0,,
11/09/2022,17:18:20,,26.025,81.75,1043.0,161.0,-1,-1
11/09/2022,17:18:25,3,25.9,69,1692,331,,
11/09/2022,17:18:25,1,26.3,95,400,0,,
11/09/2022,17:18:35,3,25.9,69,1692,331,,
11/09/2022,17:18:35,1,26.3,95,415,2,,
11/09/2022,17:18:35,,26.1,82.0,1049.75,166.0,-1,-1
11/09/2022,17:18:40,3,25.8,69,1651,291,,
11/09/2022,17:18:40,1,26.2,95,413,1,,
11/09/2022,17:18:45,3,25.8,69,1640,281,,
11/09/2022,17:18:45,1,26,95,407,1,,
11/09/2022,17:18:55,3,25.7,69,1618,262,,
11/09/2022,17:18:55,1,26,95,400,0,,
11/09/2022,17:18:55,,25.916666666666668,82.0,1021.5,139.33333333333334,-1,-1
11/09/2022,17:19:00,3,25.7,69,1608,254,,
11/09/2022,17:19:00,1,26.3,95,411,1,,
11/09/2022,17:19:10,3,25.8,69,1608,254,,
11/09/2022,17:19:10,1,26.2,95,420,3,,
11/09/2022,17:19:10,,26.0,82.0,1011.75,128.0,-1,-1
11/09/2022,17:19:15,3,25.8,69,1614,258,,
11/09/2022,17:19:15,1,26,95,416,2,,
11/09/2022,17:19:20,3,25.7,69,1614,258,,
11/09/2022,17:19:20,1,26.3,95,405,0,,
