date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,21:04:24,22.7,81,425,3,,
30/08/2022,21:04:29,22.8,81,432,4,,
30/08/2022,21:04:34,22.8,81,432,4,,
30/08/2022,21:04:39,22.8,80.0,432.0,4.0,-1,-1
30/08/2022,21:04:44,22.9,80,435,5,,
30/08/2022,21:04:50,22.7,80,435,5,,
30/08/2022,21:04:55,22.8,80.0,444.0,6.0,-1,-1
30/08/2022,21:05:00,22.7,80,439,5,,
30/08/2022,21:05:05,22.8,80,439,5,,
30/08/2022,21:05:10,22.7,80.0,439.0,5.0,-1,-1
30/08/2022,21:05:15,22.7,80,432,4,,
30/08/2022,21:05:20,22.7,80,432,4,,
