date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,21:38:33,22.6,86,416,2,,
30/08/2022,21:38:38,22.7,87,413,1,,
30/08/2022,21:38:43,22.6,87,421,3,,
30/08/2022,21:38:48,22.6,87.0,459.0,8.0,-1,-1
30/08/2022,21:38:53,22.6,87,495,14,,
30/08/2022,21:38:58,22.6,86,448,7,,
30/08/2022,21:39:03,22.6,86.0,542.0,21.0,-1,-1
30/08/2022,21:39:08,22.6,86,488,13,,
30/08/2022,21:39:13,22.6,86,413,1,,
30/08/2022,21:39:18,22.8,87.0,454.0,8.0,-1,-1
30/08/2022,21:39:23,22.5,86,480,12,,
30/08/2022,21:39:28,22.6,86,539,21,,
30/08/2022,21:39:33,22.6,85.0,574.0,26.0,-1,-1
30/08/2022,21:39:38,22.6,85,567,25,,
30/08/2022,21:39:43,22.6,85,614,32,,
30/08/2022,21:39:48,22.6,85.0,605.0,31.0,-1,-1
30/08/2022,21:39:53,22.6,85,620,33,,
30/08/2022,21:39:58,22.6,84,660,39,,
30/08/2022,21:40:03,22.6,86.0,439.0,5.0,-1,-1
30/08/2022,21:40:08,22.6,86,407,1,,
30/08/2022,21:40:13,22.6,87,439,5,,
30/08/2022,21:40:18,22.6,88.0,536.0,20.0,-1,-1
30/08/2022,21:40:23,22.6,87,519,18,,
30/08/2022,21:40:28,22.6,87,652,38,,
30/08/2022,21:40:33,22.6,86.0,614.0,32.0,-1,-1
30/08/2022,21:40:38,22.6,86,652,38,,
30/08/2022,21:40:43,22.6,85,733,50,,
30/08/2022,21:40:48,22.5,84.0,719.0,48.0,-1,-1
30/08/2022,21:40:53,22.6,84,719,48,,
30/08/2022,21:40:58,22.8,84,645,37,,
30/08/2022,21:41:03,22.6,84.0,699.0,45.0,-1,-1
30/08/2022,21:41:08,22.6,84,768,56,,
30/08/2022,21:41:13,22.8,84,699,45,,
30/08/2022,21:41:18,22.6,83.0,690.0,44.0,-1,-1
30/08/2022,21:41:23,22.6,84,699,45,,
30/08/2022,21:41:28,22.5,84,638,36,,
30/08/2022,21:41:33,22.6,84.0,645.0,37.0,-1,-1
30/08/2022,21:41:38,22.6,84,675,41,,
30/08/2022,21:41:43,22.6,84,638,36,,
30/08/2022,21:41:48,22.6,84.0,645.0,37.0,-1,-1
30/08/2022,21:41:53,22.5,84,657,39,,
30/08/2022,21:41:58,22.5,83,3693,4335,,
30/08/2022,21:42:03,22.6,83.0,3422.0,3763.0,1,1
30/08/2022,21:42:09,22.5,83,4421,5885,,
30/08/2022,21:42:14,22.5,83,3373,3658,,
30/08/2022,21:42:19,22.5,83.0,2901.0,2631.0,1,1
30/08/2022,21:42:24,22.5,83,2725,2279,,
30/08/2022,21:42:29,22.5,83,2603,2007,,
30/08/2022,21:42:34,22.5,83.0,2725.0,2279.0,1,1
30/08/2022,21:42:39,22.5,84,2807,2450,,
30/08/2022,21:42:44,22.6,85,2591,1977,,
30/08/2022,21:42:54,22.8,85.0,446.0,7.0,-1,-1
30/08/2022,21:42:59,22.5,85,497,14,,
30/08/2022,21:43:04,22.6,85,409,1,,
30/08/2022,21:43:09,22.6,84.0,425.0,3.0,-1,-1
30/08/2022,21:43:14,22.6,84,408,1,,
30/08/2022,21:43:19,22.8,83,439,5,,
30/08/2022,21:43:24,22.9,83.0,427.0,4.0,-1,-1
30/08/2022,21:43:29,22.6,84,400,0,,
30/08/2022,21:43:34,22.5,85,407,1,,
30/08/2022,21:43:39,22.6,86.0,400.0,0.0,-1,-1
30/08/2022,21:43:44,22.7,86,520,18,,
30/08/2022,21:43:49,22.7,86,553,23,,
30/08/2022,21:43:54,22.7,86.0,726.0,49.0,-1,-1
30/08/2022,21:43:59,22.9,86,646,37,,
