date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,22:22:07,23.1,82,533,20,,
30/08/2022,22:22:12,23.3,80.0,552.0,23.0,-1,-1
30/08/2022,22:22:18,23.3,80.0,578.0,27.0,-1,-1
30/08/2022,22:22:23,23.4,80.0,578.0,27.0,-1,-1
30/08/2022,22:22:45,23,79,539,21,,
30/08/2022,22:22:50,23.3,79,463,9,,
30/08/2022,22:22:55,23.1,79,444,6,,
30/08/2022,22:23:00,22.8,79.0,400.0,0.0,-1,-1
30/08/2022,22:23:05,23,78,400,0,,
30/08/2022,22:23:10,23,78,407,1,,
30/08/2022,22:23:15,23.4,78.0,416.0,2.0,-1,-1
30/08/2022,22:23:20,23.3,78,421,3,,
30/08/2022,22:23:25,23.1,78,424,3,,
30/08/2022,22:23:30,23.1,78.0,432.0,4.0,-1,-1
30/08/2022,22:23:35,23.3,78,424,3,,
30/08/2022,22:23:40,23.4,78,400,0,,
30/08/2022,22:23:45,23.0,78.0,405.0,0.0,-1,-1
30/08/2022,22:23:50,22.8,78,416,2,,
30/08/2022,22:23:55,23.3,77,414,2,,
30/08/2022,22:24:00,22.9,78.0,414.0,2.0,-1,-1
30/08/2022,22:24:05,23.3,78,407,1,,
30/08/2022,22:24:10,22.7,78,400,0,,
30/08/2022,22:24:15,23.3,78.0,409.0,1.0,-1,-1
30/08/2022,22:24:20,22.7,78,405,0,,
30/08/2022,22:24:25,22.7,78,400,0,,
30/08/2022,22:24:30,22.7,78.0,403.0,0.0,-1,-1
30/08/2022,22:24:35,23.2,79,400,0,,
30/08/2022,22:24:40,23.3,79,405,0,,
30/08/2022,22:24:45,22.8,79.0,400.0,0.0,-1,-1
30/08/2022,22:24:50,23.2,79,410,1,,
30/08/2022,22:24:55,22.7,79,407,1,,
30/08/2022,22:25:00,23.2,79.0,400.0,0.0,-1,-1
30/08/2022,22:25:05,23.3,79,400,0,,
30/08/2022,22:25:10,22.7,79,408,1,,
30/08/2022,22:25:15,22.6,79.0,408.0,1.0,-1,-1
30/08/2022,22:25:20,23.3,79,400,0,,
30/08/2022,22:25:25,22.8,79,403,0,,
30/08/2022,22:25:30,22.6,79.0,400.0,0.0,-1,-1
30/08/2022,22:25:35,22.7,79,441,6,,
30/08/2022,22:25:40,23.3,79,441,6,,
