date,time,id,Temp,Humidity,CO2,TVOC,fan_action,filter_action
13/09/2022,00:00:00,3,23.2,65,462,9,,
13/09/2022,00:00:00,5,23.8,90,420,3,,
13/09/2022,00:00:05,3,23.2,65,466,10,,
13/09/2022,00:00:05,5,23.3,90,423,3,,
13/09/2022,00:00:10,3,23.2,65,473,11,,
13/09/2022,00:00:10,5,23.8,90,420,3,,
13/09/2022,00:00:10,,23.8,90,466,10,-1,-1
13/09/2022,00:00:15,3,23.2,65,466,10,,
13/09/2022,00:00:15,5,23,90,420,3,,
13/09/2022,00:00:20,3,23.2,65,463,9,,
13/09/2022,00:00:20,5,23,90,420,3,,
13/09/2022,00:00:25,3,23.2,65,463,9,,
13/09/2022,00:00:25,5,23,90,423,3,,
13/09/2022,00:00:25,,23.2,90,466,10,-1,-1
13/09/2022,00:00:30,3,23.1,65,462,9,,
13/09/2022,00:00:30,5,23.5,90,420,3,,
13/09/2022,00:00:35,3,23.2,65,466,10,,
13/09/2022,00:00:35,5,23.9,90,420,3,,
13/09/2022,00:00:40,3,23.2,65,463,9,,
13/09/2022,00:00:40,5,23,90,415,2,,
13/09/2022,00:00:40,,23.9,90,466,10,-1,-1
13/09/2022,00:00:45,3,23.2,65,463,9,,
13/09/2022,00:00:45,5,23,90,415,2,,
13/09/2022,00:00:50,3,23.2,65,462,9,,
13/09/2022,00:00:50,5,23.1,90,415,2,,
13/09/2022,00:00:55,3,23.3,65,459,8,,
13/09/2022,00:00:55,5,23,90,415,2,,
13/09/2022,00:00:55,,23.2,90,463,9,-1,-1
13/09/2022,00:01:00,3,23.3,65,462,9,,
13/09/2022,00:01:00,5,23.4,90,415,2,,
13/09/2022,00:01:06,3,23.2,65,463,9,,
13/09/2022,00:01:06,5,23,90,420,3,,
13/09/2022,00:01:11,3,23.2,65,463,9,,
13/09/2022,00:01:11,5,22.9,91,415,2,,
13/09/2022,00:01:11,,23.4,90,463,9,-1,-1
13/09/2022,00:01:16,3,23.2,65,466,10,,
13/09/2022,00:01:16,5,24,92,415,2,,
13/09/2022,00:01:21,3,23.2,65,466,10,,
13/09/2022,00:01:21,5,23.1,91,415,2,,
13/09/2022,00:01:26,3,23.2,65,462,9,,
13/09/2022,00:01:26,5,23.8,91,410,1,,
13/09/2022,00:01:26,,24,92,466,10,-1,-1
13/09/2022,00:01:31,3,23.3,65,459,8,,
13/09/2022,00:01:31,5,22.9,91,410,1,,
13/09/2022,00:01:36,3,23.2,65,463,9,,
13/09/2022,00:01:36,5,23.3,91,410,1,,
13/09/2022,00:01:41,3,23.3,65,463,9,,
13/09/2022,00:01:41,5,23.9,91,410,1,,
13/09/2022,00:01:41,,23.3,91,463,9,-1,-1
13/09/2022,00:01:46,3,23.2,65,463,9,,
13/09/2022,00:01:46,5,23,91,415,2,,
13/09/2022,00:01:51,3,23.2,65,463,9,,
13/09/2022,00:01:51,5,23,91,415,2,,
13/09/2022,00:01:56,3,23.2,65,462,9,,
13/09/2022,00:01:56,5,22.9,91,415,2,,
13/09/2022,00:01:56,,23.2,91,463,9,-1,-1
13/09/2022,00:02:01,3,23.2,65,463,9,,
13/09/2022,00:02:01,5,23.6,91,410,1,,
13/09/2022,00:02:06,3,23.3,65,473,11,,
13/09/2022,00:02:06,5,23.9,91,415,2,,
13/09/2022,00:02:11,3,23.2,65,473,11,,
13/09/2022,00:02:11,5,22.8,91,415,2,,
13/09/2022,00:02:11,,23.9,91,473,11,-1,-1
13/09/2022,00:02:16,3,27.2,65,473,11,,
13/09/2022,00:02:16,5,23,91,415,2,,
13/09/2022,00:02:21,3,23.2,65,473,11,,
13/09/2022,00:02:21,5,23,91,410,1,,
13/09/2022,00:02:26,3,23.2,65,475,11,,
13/09/2022,00:02:26,5,23.5,91,415,2,,
13/09/2022,00:02:26,,27.2,91,473,11,-1,-1
13/09/2022,00:02:31,3,23.3,65,473,11,,
13/09/2022,00:02:31,5,23,91,415,2,,
13/09/2022,00:02:36,3,23.2,65,480,12,,
13/09/2022,00:02:36,5,22.9,91,415,2,,
13/09/2022,00:02:41,3,23.3,65,480,12,,
13/09/2022,00:02:41,5,24,92,410,1,,
13/09/2022,00:02:41,,23.3,91,480,12,-1,-1
13/09/2022,00:02:46,3,23.2,65,480,12,,
13/09/2022,00:02:46,5,24.1,92,410,1,,
13/09/2022,00:02:51,3,23.3,65,480,12,,
13/09/2022,00:02:51,5,23.1,91,406,0,,
13/09/2022,00:02:56,3,23.3,65,475,11,,
13/09/2022,00:02:56,5,24.1,92,406,0,,
13/09/2022,00:02:56,,24.1,92,480,12,-1,-1
13/09/2022,00:03:01,3,23.3,65,473,11,,
13/09/2022,00:03:01,5,23,91,406,0,,
13/09/2022,00:03:06,3,23.2,65,475,11,,
13/09/2022,00:03:06,5,23,91,406,0,,
13/09/2022,00:03:11,3,23.3,65,475,11,,
13/09/2022,00:03:11,5,24,92,406,0,,
13/09/2022,00:03:11,,23.3,91,475,11,-1,-1
13/09/2022,00:03:16,3,23.3,65,475,11,,
13/09/2022,00:03:16,5,24.1,93,406,0,,
13/09/2022,00:03:21,3,23.3,65,473,11,,
13/09/2022,00:03:21,5,23,92,406,0,,
13/09/2022,00:03:26,3,23.3,65,466,10,,
13/09/2022,00:03:26,5,24,92,410,1,,
13/09/2022,00:03:26,,24.1,93,475,11,-1,-1
13/09/2022,00:03:31,3,23.3,65,466,10,,
13/09/2022,00:03:31,5,24,92,410,1,,
13/09/2022,00:03:36,3,23.3,65,466,10,,
13/09/2022,00:03:36,5,24,92,410,1,,
13/09/2022,00:03:41,3,23.3,65,463,9,,
13/09/2022,00:03:41,5,24,92,410,1,,
13/09/2022,00:03:41,,24,92,466,10,-1,-1
13/09/2022,00:03:46,3,23.2,65,463,9,,
13/09/2022,00:03:46,5,23.9,92,410,1,,
13/09/2022,00:03:51,3,23.3,65,463,9,,
13/09/2022,00:03:51,5,23.1,92,410,1,,
13/09/2022,00:03:56,3,23.3,65,463,9,,
13/09/2022,00:03:56,5,23.5,92,410,1,,
13/09/2022,00:03:56,,23.9,92,463,9,-1,-1
13/09/2022,00:04:01,3,23.3,65,466,10,,
13/09/2022,00:04:01,5,23,92,410,1,,
13/09/2022,00:04:06,3,23.3,65,459,8,,
13/09/2022,00:04:06,5,23.1,92,415,2,,
13/09/2022,00:04:11,3,23.3,65,473,11,,
13/09/2022,00:04:11,5,24,93,410,1,,
13/09/2022,00:04:11,,23.3,92,466,10,-1,-1
13/09/2022,00:04:16,3,23.3,65,480,12,,
13/09/2022,00:04:16,5,24,93,410,1,,
13/09/2022,00:04:21,3,23.3,65,475,11,,
13/09/2022,00:04:21,5,23.1,92,410,1,,
13/09/2022,00:04:26,3,23.3,65,475,11,,
13/09/2022,00:04:26,5,23,93,407,1,,
13/09/2022,00:04:26,,24,93,480,12,-1,-1
13/09/2022,00:04:31,3,23.4,65,473,11,,
13/09/2022,00:04:31,5,24.1,93,407,1,,
13/09/2022,00:04:36,3,23.3,65,462,9,,
13/09/2022,00:04:36,5,24,93,407,1,,
13/09/2022,00:04:41,3,23.3,65,462,9,,
13/09/2022,00:04:41,5,24,93,410,1,,
13/09/2022,00:04:41,,24.1,93,473,11,-1,-1
13/09/2022,00:04:46,3,23.3,65,462,9,,
13/09/2022,00:04:46,5,24.1,93,410,1,,
13/09/2022,00:04:51,3,23.3,65,462,9,,
13/09/2022,00:04:51,5,24,93,407,1,,
13/09/2022,00:04:56,3,23.3,65,462,9,,
13/09/2022,00:04:56,5,24.1,93,407,1,,
13/09/2022,00:04:56,,24.1,93,462,9,-1,-1
13/09/2022,00:05:01,3,23.3,65,462,9,,
13/09/2022,00:05:01,5,24.1,93,407,1,,
13/09/2022,00:05:06,3,23.3,65,462,9,,
13/09/2022,00:05:06,5,24.2,93,407,1,,
13/09/2022,00:05:11,3,23.3,65,459,8,,
13/09/2022,00:05:11,5,24.1,93,407,1,,
13/09/2022,00:05:11,,24.2,93,462,9,-1,-1
13/09/2022,00:05:16,3,23.4,65,462,9,,
13/09/2022,00:05:16,5,23.9,92,407,1,,
13/09/2022,00:05:21,3,23.4,65,462,9,,
13/09/2022,00:05:21,5,24.1,93,411,1,,
13/09/2022,00:05:26,3,23.3,65,462,9,,
13/09/2022,00:05:26,5,24,93,411,1,,
13/09/2022,00:05:26,,24.1,93,462,9,-1,-1
13/09/2022,00:05:31,3,23.3,65,462,9,,
13/09/2022,00:05:31,5,23.1,92,411,1,,
13/09/2022,00:05:36,3,23.3,65,462,9,,
13/09/2022,00:05:36,5,23,92,411,1,,
13/09/2022,00:05:41,3,23.3,66,454,8,,
13/09/2022,00:05:41,5,23.1,92,411,1,,
13/09/2022,00:05:41,,23.3,92,462,9,-1,-1
13/09/2022,00:05:46,3,23.3,65,463,9,,
13/09/2022,00:05:46,5,24,93,411,1,,
13/09/2022,00:05:51,3,23.3,65,466,10,,
13/09/2022,00:05:51,5,24.2,93,411,1,,
13/09/2022,00:05:56,3,23.3,65,466,10,,
13/09/2022,00:05:56,5,24.2,93,411,1,,
13/09/2022,00:05:56,,24.2,93,466,10,-1,-1
13/09/2022,00:06:01,3,23.3,65,463,9,,
13/09/2022,00:06:01,5,23.5,92,411,1,,
13/09/2022,00:06:06,3,23.4,65,463,9,,
13/09/2022,00:06:06,5,24,93,411,1,,
13/09/2022,00:06:11,3,23.3,65,463,9,,
13/09/2022,00:06:11,5,23.1,92,409,1,,
13/09/2022,00:06:11,,24,93,463,9,-1,-1
13/09/2022,00:06:16,3,23.3,65,462,9,,
13/09/2022,00:06:16,5,24,93,409,1,,
13/09/2022,00:06:21,3,23.3,65,463,9,,
13/09/2022,00:06:21,5,24,93,409,1,,
13/09/2022,00:06:26,3,23.4,65,466,10,,
13/09/2022,00:06:26,5,24.2,93,411,1,,
13/09/2022,00:06:26,,24,93,463,9,-1,-1
13/09/2022,00:06:31,3,23.3,65,466,10,,
13/09/2022,00:06:31,5,24,93,411,1,,
13/09/2022,00:06:36,3,23.3,65,473,11,,
13/09/2022,00:06:36,5,23.9,92,411,1,,
13/09/2022,00:06:41,3,23.4,65,473,11,,
13/09/2022,00:06:41,5,23.9,92,411,1,,
13/09/2022,00:06:41,,24,93,473,11,-1,-1
13/09/2022,00:06:46,3,23.3,65,473,11,,
13/09/2022,00:06:46,5,24.2,93,411,1,,
13/09/2022,00:06:51,3,23.4,65,473,11,,
13/09/2022,00:06:51,5,24.2,93,411,1,,
13/09/2022,00:06:56,3,23.3,65,466,10,,
