date,time,temp,humidity,co2,voc,fan_action,filter_action
28/08/2022,17:22:00,26.9,86.0,514.0,17.0,,
28/08/2022,17:22:00,,,,,-1,-1
28/08/2022,17:22:02,26.9,86.0,455.0,8.0,,
28/08/2022,17:22:02,,,,,-1,-1
28/08/2022,17:22:06,26.9,86.0,615.0,32.0,,
28/08/2022,17:22:06,,,,,0,-1
28/08/2022,17:22:08,26.9,86.0,757.0,54.0,,
28/08/2022,17:22:08,,,,,0,-1
28/08/2022,17:22:12,26.9,86.0,920.0,79.0,,
28/08/2022,17:22:12,,,,,0,-1
28/08/2022,17:22:14,26.9,85.0,629.0,34.0,,
28/08/2022,17:22:14,,,,,0,-1
28/08/2022,17:22:18,26.9,85.0,615.0,32.0,,
28/08/2022,17:22:18,,,,,0,-1
28/08/2022,17:22:20,26.9,85.0,452.0,7.0,,
28/08/2022,17:22:20,,,,,-1,-1
28/08/2022,17:22:24,26.9,85.0,438.0,5.0,,
28/08/2022,17:22:24,,,,,-1,-1
28/08/2022,17:22:26,26.9,85.0,400.0,0.0,,
28/08/2022,17:22:26,,,,,-1,-1
28/08/2022,17:22:30,26.9,85.0,586.0,28.0,,
28/08/2022,17:22:30,,,,,-1,-1
28/08/2022,17:22:32,26.9,85.0,1523.0,187.0,,
28/08/2022,17:22:32,,,,,0,-1
28/08/2022,17:22:36,26.9,85.0,1372.0,148.0,,
28/08/2022,17:22:36,,,,,0,-1
28/08/2022,17:22:38,26.9,85.0,763.0,55.0,,
28/08/2022,17:22:38,,,,,0,-1
28/08/2022,17:22:42,26.9,85.0,907.0,77.0,,
28/08/2022,17:22:42,,,,,0,-1
28/08/2022,17:22:44,26.9,85.0,907.0,77.0,,
28/08/2022,17:22:44,,,,,0,-1
28/08/2022,17:22:48,26.9,85.0,1074.0,102.0,,
28/08/2022,17:22:48,,,,,0,-1
28/08/2022,17:22:52,26.9,85.0,990.0,89.0,,
28/08/2022,17:22:52,,,,,0,-1
28/08/2022,17:22:54,58.0,85.0,975.0,87.0,,
28/08/2022,17:22:54,,,,,0,-1
28/08/2022,17:22:58,26.9,85.0,800.0,60.0,,
28/08/2022,17:22:58,,,,,0,-1
28/08/2022,17:23:00,27.0,86.0,887.0,74.0,,
28/08/2022,17:23:00,,,,,0,-1
28/08/2022,17:23:04,26.9,85.0,742.0,52.0,,
28/08/2022,17:23:04,,,,,0,-1
28/08/2022,17:23:06,26.9,85.0,463.0,9.0,,
28/08/2022,17:23:06,,,,,-1,-1
28/08/2022,17:23:10,26.9,85.0,754.0,53.0,,
28/08/2022,17:23:10,,,,,0,-1
28/08/2022,17:23:12,26.9,85.0,918.0,78.0,,
28/08/2022,17:23:12,,,,,0,-1
28/08/2022,17:23:16,27.1,85.0,540.0,21.0,,
28/08/2022,17:23:16,,,,,-1,-1
28/08/2022,17:23:18,26.9,85.0,649.0,37.0,,
28/08/2022,17:23:18,,,,,0,-1
28/08/2022,17:23:22,26.9,85.0,830.0,65.0,,
28/08/2022,17:23:22,,,,,0,-1
28/08/2022,17:23:24,26.9,85.0,975.0,87.0,,
28/08/2022,17:23:24,,,,,0,-1
28/08/2022,17:23:28,26.9,85.0,7588.0,12653.0,,
28/08/2022,17:23:28,,,,,1,1
28/08/2022,17:23:30,26.9,85.0,7588.0,12653.0,,
28/08/2022,17:23:30,,,,,1,1
28/08/2022,17:23:34,26.9,85.0,2228.0,1198.0,,
28/08/2022,17:23:34,,,,,1,1
28/08/2022,17:23:36,27.0,86.0,3551.0,4033.0,,
28/08/2022,17:23:36,,,,,1,1
28/08/2022,17:23:40,26.9,85.0,4152.0,5308.0,,
28/08/2022,17:23:40,,,,,1,1
28/08/2022,17:23:42,26.9,85.0,2680.0,2165.0,,
28/08/2022,17:23:42,,,,,1,1
28/08/2022,17:23:46,26.9,85.0,2146.0,1022.0,,
