date,time,id,Temp,Humidity,CO2,TVOC,PM1,PM2.5,PM10,fan_action,filter_action
09/10/2022,18:57:17,4,31.10704,62.34436,459.8633,17,4,5,5,,
09/10/2022,18:57:17,2,29.16037,68.4967,499.1923,45,2,3,3,,
09/10/2022,18:57:17,3,27.24841,70.37354,279.6089,25,3,4,4,,
09/10/2022,18:57:27,4,31.06432,62.39624,459.1584,17,4,5,5,,
09/10/2022,18:57:27,2,29.21645,68.41431,497.3119,45,2,3,3,,
09/10/2022,18:57:27,3,27.21904,69.05975,276.1432,25,3,4,4,,
09/10/2022,18:57:37,4,31.10704,62.5061,460.2287,17,3,4,4,,
09/10/2022,18:57:37,2,29.25651,68.20831,500.7653,45,2,3,3,,
09/10/2022,18:57:37,3,27.17365,70.29572,271.9291,25,3,4,4,,
09/10/2022,18:57:47,4,31.16312,62.42676,459.408,17,4,5,5,,
09/10/2022,18:57:47,2,29.28588,68.05267,501.2668,45,2,3,3,,
09/10/2022,18:57:47,3,27.24841,70.85571,274.4005,25,3,4,4,,
09/10/2022,18:57:47,,31.10704,70.37354,500.7653,45,4,5,5,-1,-1
09/10/2022,18:57:57,4,31.17647,62.39624,457.698,17,3,4,4,,
09/10/2022,18:57:57,2,29.32861,68.06183,500.0014,45,2,3,3,,
09/10/2022,18:57:57,3,27.31785,70.9137,281.3815,25,3,4,4,,
09/10/2022,18:58:07,4,31.2459,62.28638,457.3188,17,3,4,4,,
09/10/2022,18:58:07,2,29.39803,67.90314,498.2918,45,2,3,3,,
09/10/2022,18:58:07,3,27.31785,70.83282,281.3791,25,3,4,4,,
09/10/2022,18:58:17,4,31.20317,62.19788,456.5666,17,3,4,4,,
09/10/2022,18:58:17,2,29.35531,67.74597,497.0334,45,2,3,3,,
09/10/2022,18:58:17,3,27.31785,70.88318,269.8587,25,3,4,4,,
09/10/2022,18:58:17,,31.2459,70.9137,500.0014,45,3,4,4,-1,-1
09/10/2022,18:58:27,4,31.23254,62.20245,456.3199,17,3,4,4,,
09/10/2022,18:58:27,2,29.36866,67.64069,496.0844,45,2,3,3,,
09/10/2022,18:58:27,3,27.3045,71.10138,274.2454,25,3,4,4,,
09/10/2022,18:58:37,4,31.23254,62.30469,457.0921,17,3,4,4,,
09/10/2022,18:58:37,3,27.31785,71.10596,271.7541,25,3,4,4,,
09/10/2022,18:58:47,4,31.2459,62.19482,455.7323,17,3,4,4,,
09/10/2022,18:58:47,2,29.47013,66.90063,498.6189,45,2,2,2,,
09/10/2022,18:58:47,3,27.27512,71.0556,269.6169,25,3,4,4,,
09/10/2022,18:58:47,,31.23254,71.10596,496.0844,45,3,4,4,-1,-1
09/10/2022,18:58:57,4,31.2459,62.03003,457.0821,17,3,4,4,,
09/10/2022,18:58:57,2,29.42741,66.71143,501.7527,45,2,3,3,,
09/10/2022,18:58:57,3,27.34455,70.55359,269.6792,25,3,4,4,,
09/10/2022,18:59:07,4,31.28863,61.98883,455.6239,17,3,4,4,,
09/10/2022,18:59:07,2,29.47013,66.922,502.2049,45,2,3,3,,
09/10/2022,18:59:07,3,27.26177,70.37506,266.9613,25,3,4,4,,
09/10/2022,18:59:17,4,31.30198,61.85608,456.6747,17,4,5,5,,
09/10/2022,18:59:17,2,29.47013,66.86859,503.2759,45,3,4,4,,
09/10/2022,18:59:17,3,27.26177,70.21332,265.2972,25,3,4,4,,
09/10/2022,18:59:17,,31.28863,70.55359,502.2049,45,3,4,4,-1,-1
09/10/2022,18:59:27,4,31.20317,61.84082,458.7075,17,4,5,5,,
09/10/2022,18:59:27,2,29.45678,66.8045,505.1091,45,3,4,4,,
09/10/2022,18:59:27,3,27.28848,70.25909,265.536,25,3,4,4,,
09/10/2022,18:59:37,4,31.16312,61.88354,459.6649,17,4,5,5,,
09/10/2022,18:59:37,2,29.48348,66.89453,503.3666,45,3,4,4,,
09/10/2022,18:59:37,3,27.20569,69.82574,263.9257,25,3,4,4,,
09/10/2022,18:59:47,4,31.12039,61.95984,461.5044,17,4,5,5,,
09/10/2022,18:59:47,2,29.44343,67.23785,504.0323,45,3,4,4,,
09/10/2022,18:59:47,3,27.16029,69.86694,262.4053,25,3,4,4,,
09/10/2022,18:59:47,,31.20317,70.25909,505.1091,45,4,5,5,-1,-1
09/10/2022,18:59:57,4,31.20317,61.97357,461.1275,17,4,5,5,,
09/10/2022,18:59:57,2,29.45678,67.38129,505.9295,45,3,4,4,,
09/10/2022,18:59:57,3,27.14694,69.21692,261.6381,25,3,4,4,,
09/10/2022,19:00:07,4,31.25925,61.84082,460.1034,17,4,5,5,,
09/10/2022,19:00:07,2,29.45678,67.47589,501.1055,45,3,4,4,,
09/10/2022,19:00:07,3,27.16029,69.9173,261.7608,25,3,4,4,,
09/10/2022,19:00:17,4,31.30198,61.88812,459.1315,17,4,5,5,,
09/10/2022,19:00:17,3,27.18967,70.39795,262.1775,25,3,4,4,,
09/10/2022,19:00:17,,31.25925,69.9173,505.9295,45,4,5,5,-1,-1
09/10/2022,19:00:27,4,31.2459,61.90033,458.8943,17,4,5,5,,
09/10/2022,19:00:27,2,29.47013,67.66052,497.0155,45,3,4,4,,
09/10/2022,19:00:27,3,27.16029,70.54443,262.4126,25,3,4,4,,
09/10/2022,19:00:37,4,31.21919,62.21161,458.549,17,4,5,5,,
09/10/2022,19:00:37,2,29.45678,67.63763,491.9373,45,3,4,4,,
09/10/2022,19:00:37,3,27.27512,70.78247,267.6847,25,3,4,4,,
09/10/2022,19:00:47,4,31.23254,62.28485,455.7705,17,3,4,4,,
09/10/2022,19:00:47,3,27.26177,70.7901,268.2731,25,3,4,4,,
09/10/2022,19:00:47,,31.2459,70.78247,497.0155,45,4,5,5,-1,-1
09/10/2022,19:00:57,4,31.20317,62.33063,455.7365,17,3,4,4,,
09/10/2022,19:00:57,2,29.52621,67.28821,484.8368,45,2,3,3,,
09/10/2022,19:00:57,3,27.26177,71.13342,268.7089,25,3,4,4,,
09/10/2022,19:01:07,4,31.17647,62.42828,455.2275,17,3,4,4,,
09/10/2022,19:01:07,2,29.53956,67.51709,487.6875,45,3,4,4,,
09/10/2022,19:01:07,3,27.27512,71.15631,267.2442,25,3,4,4,,
09/10/2022,19:01:17,4,31.16312,62.49542,453.2582,17,3,4,4,,
09/10/2022,19:01:17,2,29.52621,67.56744,485.775,45,3,4,4,,
09/10/2022,19:01:17,3,27.3045,71.28448,267.2365,25,4,5,5,,
09/10/2022,19:01:17,,31.20317,71.15631,487.6875,45,3,4,4,-1,-1
09/10/2022,19:01:27,4,31.13374,62.49084,453.601,17,3,4,4,,
09/10/2022,19:01:27,2,29.4995,67.60406,484.2181,45,3,4,4,,
09/10/2022,19:01:27,3,27.36057,71.28906,266.357,25,4,5,5,,
09/10/2022,19:01:37,4,31.16312,62.5061,453.6388,17,4,5,5,,
09/10/2022,19:01:37,3,27.34455,71.18378,265.4912,25,3,4,4,,
09/10/2022,19:01:47,4,31.09102,62.48322,451.7438,17,3,4,4,,
09/10/2022,19:01:47,3,27.40063,70.19196,251.1139,25,3,4,4,,
09/10/2022,19:01:47,,31.16312,71.28906,484.2181,45,4,5,5,-1,-1
09/10/2022,19:01:57,4,31.14709,62.42218,450.9407,17,3,4,4,,
09/10/2022,19:01:57,2,29.51286,66.77094,486.0289,45,3,4,4,,
09/10/2022,19:01:57,3,27.34455,69.11621,251.4783,25,3,4,4,,
09/10/2022,19:02:07,4,31.16312,62.4649,449.3385,17,3,4,4,,
09/10/2022,19:02:07,2,29.4995,67.30347,483.5506,45,3,4,4,,
09/10/2022,19:02:07,3,27.20569,69.56329,253.3509,25,4,5,5,,
09/10/2022,19:02:17,4,31.21919,62.323,447.0749,17,4,5,5,,
09/10/2022,19:02:17,2,29.52621,67.33093,483.2077,45,3,4,4,,
09/10/2022,19:02:17,3,27.14694,69.64264,239.3134,25,3,4,4,,
09/10/2022,19:02:17,,31.16312,69.56329,486.0289,45,4,5,5,-1,-1
09/10/2022,19:02:27,4,31.25925,62.23907,445.2444,17,3,4,4,,
