Param,Phase,id,mean,std,range,id,mean,std,range,id,mean,std,range,id,mean,std,range
TVOC,1,4.0,24.85,3.61,10,2.0,22.55,11.16,28,3.0,29.6,10.03,31,1.0,184.87,25.98,122
TVOC,2,4.0,27.0,0.0,0,2.0,17.0,0.0,0,3.0,25.0,0.0,0,1.0,189.88,17.16,141
TVOC,3,4.0,27.0,0.0,0,2.0,22.96,1.31,38,3.0,25.0,0.0,0,1.0,54.08,2.12,99
TVOC,4,4.0,27.0,0.0,0,2.0,21.0,0.0,0,3.0,25.0,0.0,0,1.0,62.0,0.0,0
TVOC,5,4.0,27.0,0.0,0,2.0,61.5,4.19,42,3.0,25.0,0.0,0,1.0,62.0,0.0,0
TVOC,6,4.0,27.0,0.0,0,2.0,63.0,0.0,0,3.0,25.0,0.0,0,1.0,62.0,0.0,0
CO2,1,4.0,515.42,50.59,284.43,2.0,547.72,53.91,315.51,3.0,245.28,59.66,384.7,1.0,213.48,57.28,538.19
CO2,2,4.0,503.49,47.9,218.4,2.0,545.17,48.44,229.33,3.0,239.42,41.44,217.61,1.0,229.29,29.22,233.78
CO2,3,4.0,531.09,44.38,189.03,2.0,494.73,42.33,200.81,3.0,250.77,39.05,218.39,1.0,376.52,40.41,223.35
CO2,4,4.0,491.72,39.04,182.68,2.0,485.65,38.96,177.88,3.0,273.23,34.73,190.91,1.0,410.12,37.81,176.26
CO2,5,4.0,454.93,53.61,258.75,2.0,378.25,48.77,245.86,3.0,274.55,47.86,252.99,1.0,375.8,52.76,252.35
CO2,6,4.0,468.88,31.46,189.28,2.0,374.69,29.32,184.62,3.0,422.62,110.82,447.11,1.0,361.86,31.22,210.09
PM1,1,4.0,7.23,2.55,23,2.0,6.39,2.82,21,3.0,5.12,1.21,8,1.0,6.75,0.69,4
PM1,2,4.0,3.99,1.85,20,2.0,3.56,1.82,22,3.0,3.98,2.61,98,1.0,4.81,1.86,7
PM1,3,4.0,5.61,1.43,8,2.0,4.89,1.6,10,3.0,4.95,2.0,8,1.0,5.01,2.16,10
PM1,4,4.0,3.56,1.2,7,2.0,3.51,1.09,8,3.0,4.14,1.24,7,1.0,3.94,1.31,8
PM1,5,4.0,6.69,1.47,11,2.0,7.29,2.16,16,3.0,7.52,2.04,17,1.0,7.73,1.88,13
PM1,6,4.0,5.61,1.84,7,2.0,6.42,2.48,10,3.0,6.74,2.09,8,1.0,6.93,2.3,10
PM2.5,1,4.0,10.17,3.73,34,2.0,8.9,4.15,31,3.0,7.1,1.77,11,1.0,9.49,1.04,5
PM2.5,2,4.0,5.47,2.63,30,2.0,4.78,2.66,32,3.0,5.49,3.91,158,1.0,6.66,2.57,11
PM2.5,3,4.0,7.76,2.03,12,2.0,6.72,2.34,14,3.0,6.82,2.89,12,1.0,6.92,3.12,14
PM2.5,4,4.0,4.82,1.73,10,2.0,4.67,1.61,12,3.0,5.68,1.83,10,1.0,5.38,1.89,12
PM2.5,5,4.0,9.39,2.15,16,2.0,10.23,3.17,23,3.0,10.59,2.97,25,1.0,10.86,2.77,19
PM2.5,6,4.0,7.79,2.69,11,2.0,8.94,3.69,15,3.0,9.49,3.0,12,1.0,9.77,3.32,14
PM10,1,4.0,10.41,4.3,40,2.0,9.13,4.67,36,3.0,7.1,1.77,11,1.0,9.49,1.04,5
PM10,2,4.0,5.49,2.76,35,2.0,4.8,2.81,37,3.0,5.52,4.53,196,1.0,6.66,2.57,11
PM10,3,4.0,7.76,2.03,12,2.0,6.72,2.34,16,3.0,6.82,2.89,12,1.0,6.92,3.12,14
PM10,4,4.0,4.82,1.73,10,2.0,4.67,1.61,12,3.0,5.68,1.83,10,1.0,5.38,1.89,12
PM10,5,4.0,9.43,2.3,19,2.0,10.43,3.63,27,3.0,10.74,3.48,30,1.0,11.0,3.12,23
PM10,6,4.0,7.79,2.69,11,2.0,9.11,4.03,18,3.0,9.54,3.09,14,1.0,9.92,3.62,17
Temp,1,4.0,30.98,0.94,6.29,2.0,30.57,1.18,6.89,3.0,28.58,1.6,6.24,1.0,33.01,1.22,5.14
Temp,2,4.0,31.23,1.38,5.45,2.0,30.5,1.29,5.51,3.0,29.42,1.04,4.51,1.0,33.11,0.72,3.74
Temp,3,4.0,31.93,1.14,5.5,2.0,30.72,1.04,5.44,3.0,30.39,0.88,4.42,1.0,30.77,0.93,6.57
Temp,4,4.0,31.67,0.49,3.11,2.0,30.65,0.76,3.3,3.0,30.87,0.66,3.0,1.0,31.02,0.9,3.21
Temp,5,4.0,31.72,1.1,4.29,2.0,30.05,0.88,4.21,3.0,29.76,0.74,4.1,1.0,30.84,1.06,4.18
Temp,6,4.0,30.66,0.83,4.09,2.0,28.14,0.75,3.82,3.0,27.79,0.71,3.61,1.0,30.23,0.76,3.18
Humidity,1,4.0,62.65,4.57,29.07,2.0,64.3,4.37,29.23,3.0,66.85,3.85,19.56,1.0,59.8,3.95,19.28
Humidity,2,4.0,61.86,5.81,23.86,2.0,64.58,5.31,24.72,3.0,66.68,4.89,22.1,1.0,59.01,2.25,14.41
Humidity,3,4.0,55.98,2.3,13.26,2.0,60.98,2.27,15.67,3.0,61.32,2.66,17.39,1.0,62.61,2.72,20.12
Humidity,4,4.0,55.83,2.47,11.13,2.0,60.09,2.37,12.92,3.0,58.61,2.05,11.95,1.0,60.02,2.37,11.83
