date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
07/09/2022,00:17:29,1,25,80,600,10,,
07/09/2022,00:17:29,2,27,60,1000,11,,
07/09/2022,00:17:34,1,25,80,600,10,,
07/09/2022,00:17:34,2,27,60,1000,11,,
07/09/2022,00:17:39,1,25,80,600,10,,
07/09/2022,00:17:39,2,27,60,1000,11,,
07/09/2022,00:23:37,1,25,80,600,10,,
07/09/2022,00:23:37,2,27,60,1000,11,,
07/09/2022,00:23:42,1,25,80,600,10,,
07/09/2022,00:23:42,2,27,60,1000,11,,
07/09/2022,00:23:47,1,25,80,600,10,,
07/09/2022,00:23:47,2,27,60,1000,11,,
07/09/2022,00:23:53,1,25,80,600,10,,
07/09/2022,00:23:53,2,27,60,1000,11,,
07/09/2022,00:23:53,,26.0,70.0,800.0,10.5,-1,-1
07/09/2022,00:24:44,1,25,80,600,10,,
07/09/2022,00:24:44,2,27,60,1000,11,,
07/09/2022,00:24:49,1,25,80,600,10,,
07/09/2022,00:24:49,2,27,60,1000,11,,
07/09/2022,00:24:54,1,25,80,600,10,,
07/09/2022,00:24:54,2,27,60,1000,11,,
07/09/2022,00:24:59,1,25,80,600,10,,
07/09/2022,00:24:59,2,27,60,1000,11,,
07/09/2022,00:24:59,,26.0,70.0,800.0,10.5,-1,-1
07/09/2022,00:25:04,1,25,80,600,10,,
07/09/2022,00:25:04,2,27,60,1000,11,,
