date,time,temp,humidity,co2,voc,fan_action,filter_action
28/08/2022,12:45:04,26.3,88.0,428.0,4.0,,
28/08/2022,12:45:04,,,,,-1,1
28/08/2022,12:45:08,26.3,88.0,459.0,8.0,,
28/08/2022,12:45:08,,,,,1,1
28/08/2022,12:45:12,26.1,88.0,464.0,9.0,,
28/08/2022,12:45:12,,,,,1,1
28/08/2022,12:45:14,26.3,88.0,470.0,10.0,,
28/08/2022,12:45:14,,,,,1,1
28/08/2022,12:45:18,26.3,88.0,470.0,10.0,,
28/08/2022,12:45:18,,,,,1,1
28/08/2022,12:45:20,26.0,88.0,478.0,11.0,,
28/08/2022,12:45:20,,,,,1,1
28/08/2022,12:45:24,26.2,88.0,473.0,11.0,,
28/08/2022,12:45:24,,,,,1,1
28/08/2022,12:45:26,26.2,88.0,478.0,11.0,,
28/08/2022,12:45:26,,,,,1,1
28/08/2022,12:45:30,26.4,88.0,478.0,11.0,,
28/08/2022,12:45:30,,,,,1,1
28/08/2022,12:45:32,26.3,88.0,473.0,11.0,,
28/08/2022,12:45:32,,,,,1,1
28/08/2022,12:45:36,26.1,88.0,473.0,11.0,,
28/08/2022,12:45:36,,,,,1,1
28/08/2022,12:45:38,26.2,88.0,478.0,11.0,,
28/08/2022,12:45:38,,,,,1,1
28/08/2022,12:45:42,26.3,88.0,478.0,11.0,,
28/08/2022,12:45:42,,,,,1,1
28/08/2022,12:45:44,26.2,88.0,478.0,11.0,,
28/08/2022,12:45:44,,,,,1,1
28/08/2022,12:45:48,26.4,88.0,464.0,9.0,,
28/08/2022,12:45:48,,,,,1,1
28/08/2022,12:45:50,26.2,88.0,478.0,11.0,,
28/08/2022,12:45:50,,,,,1,1
28/08/2022,12:45:54,26.3,88.0,478.0,11.0,,
28/08/2022,12:45:54,,,,,1,1
28/08/2022,12:45:56,26.1,88.0,464.0,9.0,,
28/08/2022,12:45:56,,,,,1,1
28/08/2022,12:46:00,26.2,88.0,459.0,8.0,,
28/08/2022,12:46:00,,,,,1,1
28/08/2022,12:46:02,26.0,88.0,459.0,8.0,,
28/08/2022,12:46:02,,,,,1,1
28/08/2022,12:46:06,26.4,88.0,455.0,8.0,,
28/08/2022,12:46:06,,,,,1,1
28/08/2022,12:46:08,26.0,88.0,455.0,8.0,,
28/08/2022,12:46:08,,,,,1,1
28/08/2022,12:46:12,26.2,88.0,455.0,8.0,,
28/08/2022,12:46:12,,,,,1,1
28/08/2022,12:46:14,26.3,88.0,455.0,8.0,,
28/08/2022,12:46:14,,,,,1,1
28/08/2022,12:46:18,26.3,88.0,470.0,10.0,,
28/08/2022,12:46:18,,,,,1,1
28/08/2022,12:46:20,26.2,88.0,473.0,11.0,,
28/08/2022,12:46:20,,,,,1,1
28/08/2022,12:46:24,26.2,88.0,488.0,13.0,,
28/08/2022,12:46:24,,,,,1,1
28/08/2022,12:46:26,25.9,87.0,488.0,13.0,,
28/08/2022,12:46:26,,,,,1,1
28/08/2022,12:46:30,26.3,88.0,488.0,13.0,,
28/08/2022,12:46:30,,,,,1,1
28/08/2022,12:46:32,26.3,88.0,493.0,14.0,,
28/08/2022,12:46:32,,,,,1,1
28/08/2022,12:46:36,26.5,88.0,478.0,11.0,,
28/08/2022,12:46:36,,,,,1,1
28/08/2022,12:46:38,26.3,88.0,470.0,10.0,,
28/08/2022,12:46:38,,,,,1,1
28/08/2022,12:46:42,26.6,88.0,473.0,11.0,,
28/08/2022,12:46:42,,,,,1,1
28/08/2022,12:46:44,26.2,88.0,478.0,11.0,,
28/08/2022,12:46:44,,,,,1,1
28/08/2022,12:46:49,26.3,88.0,482.0,12.0,,
28/08/2022,12:46:49,,,,,1,1
28/08/2022,12:46:51,26.2,88.0,488.0,13.0,,
28/08/2022,12:46:51,,,,,1,1
28/08/2022,12:46:55,26.4,88.0,482.0,12.0,,
28/08/2022,12:46:55,,,,,1,1
28/08/2022,12:46:57,26.2,88.0,488.0,13.0,,
28/08/2022,12:46:57,,,,,1,1
28/08/2022,12:47:01,26.2,88.0,482.0,12.0,,
28/08/2022,12:47:01,,,,,1,1
28/08/2022,12:47:03,25.9,87.0,482.0,12.0,,
28/08/2022,12:47:03,,,,,1,1
28/08/2022,12:47:07,26.2,88.0,488.0,13.0,,
28/08/2022,12:47:07,,,,,1,1
28/08/2022,12:47:09,26.3,88.0,482.0,12.0,,
28/08/2022,12:47:09,,,,,1,1
28/08/2022,12:47:13,26.2,88.0,482.0,12.0,,
28/08/2022,12:47:13,,,,,1,1
28/08/2022,12:47:15,26.2,88.0,478.0,11.0,,
28/08/2022,12:47:15,,,,,1,1
28/08/2022,12:47:19,26.2,88.0,473.0,11.0,,
28/08/2022,12:47:19,,,,,1,1
28/08/2022,12:47:21,26.2,88.0,478.0,11.0,,
28/08/2022,12:47:21,,,,,1,1
28/08/2022,12:47:25,26.4,88.0,473.0,11.0,,
28/08/2022,12:47:25,,,,,1,1
28/08/2022,12:47:27,26.2,88.0,478.0,11.0,,
28/08/2022,12:47:27,,,,,1,1
28/08/2022,12:47:31,26.3,88.0,470.0,10.0,,
28/08/2022,12:47:31,,,,,1,1
28/08/2022,12:47:35,25.9,87.0,455.0,8.0,,
28/08/2022,12:47:35,,,,,1,1
28/08/2022,12:47:37,26.2,88.0,470.0,10.0,,
28/08/2022,12:47:37,,,,,1,1
28/08/2022,12:47:41,26.8,88.0,470.0,10.0,,
28/08/2022,12:47:41,,,,,1,1
28/08/2022,12:47:43,26.4,88.0,470.0,10.0,,
28/08/2022,12:47:43,,,,,1,1
28/08/2022,12:47:47,26.2,88.0,473.0,11.0,,
28/08/2022,12:47:47,,,,,1,1
28/08/2022,12:47:49,26.3,88.0,470.0,10.0,,
28/08/2022,12:47:49,,,,,1,1
28/08/2022,12:47:53,26.5,88.0,473.0,11.0,,
28/08/2022,12:47:53,,,,,1,1
28/08/2022,12:47:55,26.0,88.0,482.0,12.0,,
28/08/2022,12:47:55,,,,,1,1
28/08/2022,12:47:59,26.0,88.0,478.0,11.0,,
28/08/2022,12:47:59,,,,,1,1
28/08/2022,12:48:01,26.3,88.0,464.0,9.0,,
28/08/2022,12:48:01,,,,,1,1
28/08/2022,12:48:05,26.0,87.0,464.0,9.0,,
