date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,22:32:25,22.4,80,708,46,,
30/08/2022,22:32:30,22.4,80,717,48,,
30/08/2022,22:32:35,22.4,80,683,43,,
30/08/2022,22:32:40,22.5,80.0,675.0,41.0,-1,-1
30/08/2022,22:32:45,22.4,80,675,41,,
30/08/2022,22:32:50,22.4,80,668,40,,
30/08/2022,22:32:55,22.4,80.0,643.0,37.0,-1,-1
30/08/2022,22:33:00,22.4,80,643,37,,
30/08/2022,22:33:05,22.4,80,643,37,,
30/08/2022,22:33:10,22.4,80.0,638.0,36.0,-1,-1
30/08/2022,22:33:15,22.5,80,638,36,,
30/08/2022,22:33:20,22.5,80,638,36,,
30/08/2022,22:33:25,22.3,80.0,643.0,37.0,-1,-1
30/08/2022,22:33:30,22.4,80,659,39,,
30/08/2022,22:33:35,22.4,81,631,35,,
30/08/2022,22:33:40,22.4,81.0,617.0,33.0,-1,-1
30/08/2022,22:33:45,22.4,81,602,30,,
30/08/2022,22:33:50,22.4,81,555,23,,
30/08/2022,22:33:55,22.4,81.0,564.0,24.0,-1,-1
30/08/2022,22:34:00,22.5,81,577,26,,
30/08/2022,22:34:05,22.4,81,617,33,,
30/08/2022,22:34:10,22.4,81.0,631.0,35.0,-1,-1
30/08/2022,22:34:15,22.4,81,3781,4512,,
30/08/2022,22:34:20,22.4,81,4081,5173,,
30/08/2022,22:34:25,22.4,81.0,3725.0,4398.0,1,1
30/08/2022,22:34:30,22.4,81,3844,4678,,
30/08/2022,22:34:35,22.4,81,3781,4512,,
30/08/2022,22:34:40,22.4,81.0,3907.0,4814.0,1,1
30/08/2022,22:34:45,22.4,81,2840,2519,,
30/08/2022,22:34:51,22.4,81,2518,1819,,
30/08/2022,22:34:56,22.4,81.0,2737.0,2297.0,1,1
30/08/2022,22:35:01,22.4,81,2203,1151,,
30/08/2022,22:35:06,22.4,81,1793,442,,
30/08/2022,22:35:11,22.4,82.0,1874.0,547.0,1,-1
30/08/2022,22:35:16,22.4,81,1809,460,,
30/08/2022,22:35:21,22.4,81,1754,395,,
30/08/2022,22:35:26,22.4,81.0,1695.0,333.0,1,-1
30/08/2022,22:35:31,22.4,81,1723,360,,
30/08/2022,22:35:36,22.4,81,1689,327,,
30/08/2022,22:35:41,22.4,81.0,1659.0,286.0,1,-1
30/08/2022,22:35:46,22.4,81,1664,302,,
30/08/2022,22:35:51,22.4,81,1645,286,,
30/08/2022,22:35:56,22.4,81.0,1628.0,270.0,1,-1
30/08/2022,22:36:01,22.4,82,1585,232,,
30/08/2022,22:36:06,22.3,82,1573,225,,
30/08/2022,22:36:11,22.4,82.0,1567.0,220.0,1,-1
30/08/2022,22:36:16,54.4,83,1557,212,,
30/08/2022,22:36:21,22.4,83,1567,220,,
30/08/2022,22:36:26,22.4,83.0,1547.0,204.0,1,-1
30/08/2022,22:36:31,22.3,82,1521,186,,
30/08/2022,22:36:36,22.4,82,1505,175,,
30/08/2022,22:36:41,22.3,82.0,1491.0,166.0,1,-1
30/08/2022,22:36:46,22.4,81,1474,163,,
30/08/2022,22:36:51,22.3,81,1474,163,,
30/08/2022,22:36:56,22.4,81.0,1509.0,178.0,1,-1
30/08/2022,22:37:01,22.4,82,1242,128,,
30/08/2022,22:37:06,22.3,82,1228,126,,
30/08/2022,22:37:11,22.3,83.0,1295.0,136.0,0,-1
30/08/2022,22:37:16,22.4,82,1281,134,,
30/08/2022,22:37:21,22.4,82,1266,131,,
30/08/2022,22:37:26,22.4,82.0,1242.0,128.0,0,-1
30/08/2022,22:37:31,22.5,82,1281,134,,
30/08/2022,22:37:36,22.3,82,1281,134,,
30/08/2022,22:37:41,22.3,82.0,1295.0,136.0,0,-1
30/08/2022,22:37:46,22.3,82,1281,134,,
30/08/2022,22:37:51,22.3,82,1295,136,,
30/08/2022,22:37:56,22.3,81.0,1281.0,134.0,0,-1
30/08/2022,22:38:01,22.4,81,1242,128,,
30/08/2022,22:38:06,22.4,82,1212,123,,
30/08/2022,22:38:11,22.3,81.0,1181.0,118.0,0,-1
30/08/2022,22:38:16,22.4,81,1198,121,,
30/08/2022,22:38:21,22.3,82,1228,126,,
30/08/2022,22:38:26,22.3,81.0,1131.0,111.0,0,-1
30/08/2022,22:38:31,22.3,81,1053,99,,
30/08/2022,22:38:36,22.4,81,1035,96,,
30/08/2022,22:38:41,22.3,81.0,1035.0,96.0,-1,-1
30/08/2022,22:38:46,22.3,81,1017,93,,
30/08/2022,22:38:51,22.3,81,1017,93,,
30/08/2022,22:38:56,22.4,81.0,1035.0,96.0,-1,-1
30/08/2022,22:39:01,22.3,81,1035,96,,
30/08/2022,22:39:06,22.3,81,1065,101,,
30/08/2022,22:39:11,22.4,81.0,1053.0,99.0,0,-1
30/08/2022,22:39:16,22.3,82,1053,99,,
30/08/2022,22:39:21,22.4,81,1065,101,,
30/08/2022,22:39:26,22.3,81.0,1077.0,103.0,0,-1
30/08/2022,22:39:31,22.3,81,1077,103,,
30/08/2022,22:39:36,22.3,81,1077,103,,
