date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,22:20:49,21.9,75,400,0,,
30/08/2022,22:20:54,21.8,75,410,1,,
30/08/2022,22:21:20,21.9,75,405,0,,
30/08/2022,22:21:25,22,75,400,0,,
30/08/2022,22:21:30,21.9,75,400,0,,
30/08/2022,22:21:35,22.0,75.0,405.0,0.0,-1,-1
30/08/2022,22:21:40,21.9,75,400,0,,
30/08/2022,22:21:45,21.9,75,402,0,,
30/08/2022,22:21:50,21.8,75.0,400.0,0.0,-1,-1
30/08/2022,22:34:28,22.6,74,633,35,,
30/08/2022,22:34:33,22.6,73,640,36,,
30/08/2022,22:34:38,22.7,73,640,36,,
30/08/2022,22:34:43,22.7,73.0,640.0,36.0,-1,-1
30/08/2022,22:34:48,22.6,73,640,36,,
30/08/2022,22:34:53,22.6,73,633,35,,
30/08/2022,22:34:58,22.6,79.4,640.0,36.0,-1,-1
30/08/2022,22:35:03,22.6,73,640,36,,
30/08/2022,22:35:08,22.6,73,640,36,,
30/08/2022,22:35:13,22.7,73.0,640.0,36.0,-1,-1
30/08/2022,22:35:18,22.6,73,653,38,,
30/08/2022,22:35:23,22.7,73,646,37,,
30/08/2022,22:35:28,22.6,73.0,653.0,38.0,-1,-1
30/08/2022,22:35:33,22.6,73,660,39,,
30/08/2022,22:35:38,22.6,73,653,38,,
30/08/2022,22:35:43,22.6,73.0,653.0,38.0,-1,-1
30/08/2022,22:35:48,22.7,73,660,39,,
30/08/2022,22:35:53,22.5,72,660,39,,
30/08/2022,22:35:58,22.7,73.0,671.0,41.0,-1,-1
30/08/2022,22:36:03,22.6,72,671,41,,
30/08/2022,22:36:08,22.7,78.4,671,41,,
30/08/2022,22:36:13,22.6,72.0,660.0,39.0,-1,-1
30/08/2022,22:36:18,22.7,78.4,671,41,,
30/08/2022,22:36:23,22.6,72,671,41,,
30/08/2022,22:36:28,22.6,72.0,671.0,41.0,-1,-1
30/08/2022,22:36:33,22.7,72,671,41,,
30/08/2022,22:36:38,22.7,72,671,41,,
30/08/2022,22:36:43,22.6,72.0,671.0,41.0,-1,-1
30/08/2022,22:36:48,22.6,72,671,41,,
30/08/2022,22:36:53,22.6,72,678,42,,
30/08/2022,22:36:58,22.7,72.0,678.0,42.0,-1,-1
30/08/2022,22:37:03,22.7,72,671,41,,
30/08/2022,22:37:08,22.7,72,671,41,,
30/08/2022,22:37:13,22.6,72.0,806.0,61.0,-1,-1
30/08/2022,22:37:18,22.5,72,2088,894,,
30/08/2022,22:37:23,22.6,72,2088,894,,
30/08/2022,22:37:28,22.6,72.0,2088.0,894.0,1,0
30/08/2022,22:37:33,22.7,72,1880,555,,
30/08/2022,22:37:38,22.7,72,1976,705,,
30/08/2022,22:37:43,22.7,72.0,2218.0,1184.0,1,1
30/08/2022,22:37:48,22.7,72,3036,2922,,
30/08/2022,22:37:53,22.7,72,4019,5048,,
30/08/2022,22:37:58,22.6,72.0,3822.0,4598.0,1,1
30/08/2022,22:38:03,22.7,72,3957,4903,,
30/08/2022,22:38:08,22.6,72,3500,3919,,
30/08/2022,22:38:13,22.8,72.0,3300.0,3488.0,1,1
30/08/2022,22:38:18,22.7,72,3392,3693,,
30/08/2022,22:38:23,22.7,72,3344,3584,,
30/08/2022,22:38:28,22.7,72.0,3300.0,3488.0,1,1
30/08/2022,22:38:33,22.8,72,3474,3862,,
30/08/2022,22:38:38,22.6,72,3553,4026,,
30/08/2022,22:38:43,22.6,72.0,3096.0,3052.0,1,1
30/08/2022,22:38:48,22.8,72,3138,3142,,
30/08/2022,22:38:53,22.7,72,2954,2751,,
30/08/2022,22:38:58,22.7,72.0,3344.0,3584.0,1,1
30/08/2022,22:39:03,22.7,72,3450,3805,,
30/08/2022,22:39:08,22.6,72,3075,3010,,
30/08/2022,22:39:13,22.7,72.0,3117.0,3102.0,1,1
30/08/2022,22:39:18,22.7,72,3229,3341,,
30/08/2022,22:39:23,22.6,72,3229,3341,,
30/08/2022,22:39:28,22.7,72.0,3229.0,3341.0,1,1
30/08/2022,22:39:33,22.7,72,3229,3341,,
30/08/2022,22:39:38,22.7,72,3250,3387,,
30/08/2022,22:39:43,22.7,72.0,3183.0,3232.0,1,1
30/08/2022,22:39:48,22.6,72,3204,3279,,
30/08/2022,22:39:53,22.7,73,3096,3052,,
30/08/2022,22:39:58,22.6,73.0,3096.0,3052.0,1,1
30/08/2022,22:40:03,22.7,73,3096,3052,,
30/08/2022,22:40:08,22.8,73,3162,3187,,
30/08/2022,22:40:13,22.7,73.0,3075.0,3010.0,1,1
30/08/2022,22:40:18,22.7,73,3036,2922,,
30/08/2022,22:40:23,22.7,73,2901,2631,,
30/08/2022,22:40:28,22.7,73.0,2802.0,2434.0,1,1
30/08/2022,22:40:33,22.7,73,2917,2667,,
30/08/2022,22:40:38,22.6,73,2901,2631,,
30/08/2022,22:40:43,22.7,73.0,2901.0,2631.0,1,1
30/08/2022,22:40:48,22.7,73,2937,2715,,
30/08/2022,22:40:53,22.7,73,2856,2548,,
30/08/2022,22:40:58,22.8,73.0,2820.0,2474.0,1,1
30/08/2022,22:41:03,22.7,73,2954,2751,,
30/08/2022,22:41:08,22.7,73,2758,2343,,
30/08/2022,22:41:13,22.7,73.0,2692.0,2187.0,1,1
30/08/2022,22:41:18,22.7,73,2556,1902,,
30/08/2022,22:41:23,22.7,73,2676,2159,,
30/08/2022,22:41:28,22.7,73.0,2601.0,1997.0,1,1
30/08/2022,22:41:33,22.7,73,2661,2126,,
30/08/2022,22:41:39,22.7,73,2661,2126,,
30/08/2022,22:41:44,22.7,73.0,2643.0,2088.0,1,1
30/08/2022,22:41:49,22.7,73,2628,2056,,
30/08/2022,22:41:54,22.7,73,2614,2024,,
30/08/2022,22:41:59,22.7,73.0,2601.0,1997.0,1,1
30/08/2022,22:42:04,22.7,73,2614,2024,,
30/08/2022,22:42:09,22.8,73,2544,1871,,
30/08/2022,22:42:14,22.8,73.0,2499.0,1779.0,1,1
