date,time,temp,humidity,co2,voc,fan_action,filter_action
28/08/2022,17:37:56,26.8,86.0,400.0,0.0,,
28/08/2022,17:37:56,,,,,-1,-1
28/08/2022,17:38:00,26.7,87.0,400.0,0.0,,
28/08/2022,17:38:00,,,,,-1,-1
28/08/2022,17:38:02,26.8,87.0,405.0,0.0,,
28/08/2022,17:38:02,,,,,-1,-1
28/08/2022,17:38:06,26.7,86.0,1669.0,308.0,,
28/08/2022,17:38:06,,,,,0,-1
28/08/2022,17:38:08,26.8,91.0,759.0,54.0,,
28/08/2022,17:38:08,,,,,0,-1
28/08/2022,17:38:12,26.8,92.0,549.0,22.0,,
28/08/2022,17:38:12,,,,,-1,-1
28/08/2022,17:38:14,26.7,93.0,717.0,48.0,,
28/08/2022,17:38:14,,,,,0,-1
28/08/2022,17:38:18,26.8,91.0,400.0,0.0,,
28/08/2022,17:38:18,,,,,-1,-1
28/08/2022,17:38:20,26.8,90.0,692.0,44.0,,
28/08/2022,17:38:20,,,,,0,-1
28/08/2022,17:38:24,26.7,89.0,2022.0,787.0,,
28/08/2022,17:38:24,,,,,1,-1
28/08/2022,17:38:26,26.8,88.0,1627.0,269.0,,
28/08/2022,17:38:26,,,,,0,-1
28/08/2022,17:38:30,26.8,88.0,1077.0,103.0,,
28/08/2022,17:38:30,,,,,0,-1
28/08/2022,17:38:32,26.7,88.0,1751.0,391.0,,
28/08/2022,17:38:32,,,,,0,-1
28/08/2022,17:38:36,26.9,88.0,1698.0,336.0,,
28/08/2022,17:38:36,,,,,0,-1
28/08/2022,17:38:38,26.7,87.0,2438.0,1643.0,,
28/08/2022,17:38:38,,,,,1,1
28/08/2022,17:38:42,26.8,87.0,2162.0,1057.0,,
28/08/2022,17:38:42,,,,,1,1
28/08/2022,17:38:44,26.8,87.0,1769.0,413.0,,
28/08/2022,17:38:44,,,,,0,-1
28/08/2022,17:38:48,26.8,87.0,1914.0,607.0,,
28/08/2022,17:38:48,,,,,0,-1
28/08/2022,17:38:50,26.8,87.0,2438.0,1643.0,,
28/08/2022,17:38:50,,,,,1,1
28/08/2022,17:38:54,26.6,87.0,1540.0,199.0,,
28/08/2022,17:38:54,,,,,0,-1
28/08/2022,17:38:56,26.7,87.0,1685.0,323.0,,
28/08/2022,17:38:56,,,,,0,-1
28/08/2022,17:39:00,26.7,87.0,2076.0,875.0,,
28/08/2022,17:39:00,,,,,1,0
28/08/2022,17:39:02,26.8,87.0,2257.0,1262.0,,
28/08/2022,17:39:02,,,,,1,1
28/08/2022,17:39:06,26.7,87.0,2183.0,1107.0,,
28/08/2022,17:39:06,,,,,1,1
28/08/2022,17:39:08,26.8,87.0,2587.0,1962.0,,
28/08/2022,17:39:08,,,,,1,1
28/08/2022,17:39:12,26.8,87.0,2004.0,756.0,,
28/08/2022,17:39:12,,,,,1,-1
28/08/2022,17:39:14,26.8,87.0,1685.0,323.0,,
28/08/2022,17:39:14,,,,,0,-1
28/08/2022,17:39:18,26.8,87.0,1529.0,191.0,,
28/08/2022,17:39:18,,,,,0,-1
28/08/2022,17:39:20,26.7,87.0,819.0,63.0,,
28/08/2022,17:39:20,,,,,0,-1
28/08/2022,17:39:24,26.7,87.0,863.0,70.0,,
28/08/2022,17:39:24,,,,,0,-1
28/08/2022,17:39:26,26.8,87.0,566.0,25.0,,
28/08/2022,17:39:26,,,,,-1,-1
28/08/2022,17:39:30,26.8,87.0,417.0,2.0,,
28/08/2022,17:39:30,,,,,-1,-1
28/08/2022,17:39:32,26.7,87.0,452.0,7.0,,
28/08/2022,17:39:32,,,,,-1,-1
28/08/2022,17:39:36,26.6,87.0,612.0,32.0,,
28/08/2022,17:39:36,,,,,0,-1
28/08/2022,17:39:40,26.8,87.0,434.0,5.0,,
28/08/2022,17:39:40,,,,,-1,-1
28/08/2022,17:39:42,26.6,87.0,400.0,0.0,,
28/08/2022,17:39:42,,,,,-1,-1
28/08/2022,17:39:46,26.8,87.0,692.0,44.0,,
28/08/2022,17:39:46,,,,,0,-1
28/08/2022,17:39:48,26.7,87.0,742.0,52.0,,
28/08/2022,17:39:48,,,,,0,-1
28/08/2022,17:39:52,26.8,87.0,1299.0,136.0,,
28/08/2022,17:39:52,,,,,0,-1
28/08/2022,17:39:54,26.6,87.0,1408.0,153.0,,
28/08/2022,17:39:54,,,,,0,-1
28/08/2022,17:39:58,26.7,87.0,1281.0,134.0,,
28/08/2022,17:39:58,,,,,0,-1
28/08/2022,17:40:00,26.6,87.0,1432.0,157.0,,
28/08/2022,17:40:00,,,,,0,-1
28/08/2022,17:40:05,26.7,88.0,1338.0,142.0,,
28/08/2022,17:40:05,,,,,0,-1
28/08/2022,17:40:07,26.7,88.0,1458.0,161.0,,
28/08/2022,17:40:07,,,,,0,-1
28/08/2022,17:40:11,26.7,88.0,1637.0,279.0,,
28/08/2022,17:40:11,,,,,0,-1
28/08/2022,17:40:13,26.8,88.0,2052.0,829.0,,
28/08/2022,17:40:13,,,,,1,0
28/08/2022,17:40:17,26.6,88.0,2006.0,757.0,,
28/08/2022,17:40:17,,,,,1,-1
28/08/2022,17:40:19,26.7,88.0,2160.0,1053.0,,
28/08/2022,17:40:19,,,,,1,1
28/08/2022,17:40:23,26.6,88.0,2130.0,984.0,,
28/08/2022,17:40:23,,,,,1,0
28/08/2022,17:40:25,26.8,88.0,2193.0,1125.0,,
28/08/2022,17:40:25,,,,,1,1
28/08/2022,17:40:29,26.8,88.0,2142.0,1010.0,,
28/08/2022,17:40:29,,,,,1,1
28/08/2022,17:40:31,26.7,88.0,1948.0,659.0,,
28/08/2022,17:40:31,,,,,0,-1
28/08/2022,17:40:35,26.7,88.0,1721.0,359.0,,
28/08/2022,17:40:35,,,,,0,-1
28/08/2022,17:40:37,26.6,88.0,1957.0,674.0,,
28/08/2022,17:40:37,,,,,0,-1
28/08/2022,17:40:41,26.7,88.0,2025.0,794.0,,
28/08/2022,17:40:41,,,,,1,-1
28/08/2022,17:40:43,26.7,87.0,2120.0,966.0,,
28/08/2022,17:40:43,,,,,1,0
28/08/2022,17:40:47,26.6,88.0,1948.0,659.0,,
28/08/2022,17:40:47,,,,,0,-1
28/08/2022,17:40:49,26.8,88.0,1680.0,319.0,,
28/08/2022,17:40:49,,,,,0,-1
28/08/2022,17:40:53,26.6,87.0,1806.0,457.0,,
28/08/2022,17:40:53,,,,,0,-1
28/08/2022,17:40:55,26.6,87.0,1262.0,131.0,,
28/08/2022,17:40:55,,,,,0,-1
28/08/2022,17:40:59,26.6,88.0,1207.0,122.0,,
28/08/2022,17:40:59,,,,,0,-1
28/08/2022,17:41:01,26.7,88.0,1156.0,115.0,,
28/08/2022,17:41:01,,,,,0,-1
28/08/2022,17:41:05,26.6,88.0,1474.0,163.0,,
28/08/2022,17:41:05,,,,,0,-1
28/08/2022,17:41:07,26.7,88.0,1520.0,185.0,,
28/08/2022,17:41:07,,,,,0,-1
28/08/2022,17:41:11,26.7,88.0,1632.0,275.0,,
28/08/2022,17:41:11,,,,,0,-1
28/08/2022,17:41:13,26.7,88.0,1644.0,285.0,,
28/08/2022,17:41:13,,,,,0,-1
28/08/2022,17:41:17,26.7,88.0,1741.0,381.0,,
28/08/2022,17:41:17,,,,,0,-1
28/08/2022,17:41:19,26.4,88.0,1568.0,220.0,,
28/08/2022,17:41:19,,,,,0,-1
28/08/2022,17:41:23,26.4,87.0,1224.0,125.0,,
28/08/2022,17:41:23,,,,,0,-1
28/08/2022,17:41:25,26.6,88.0,1195.0,121.0,,
28/08/2022,17:41:25,,,,,0,-1
28/08/2022,17:41:29,26.6,87.0,1573.0,225.0,,
28/08/2022,17:41:29,,,,,0,-1
28/08/2022,17:41:31,26.6,87.0,1692.0,331.0,,
28/08/2022,17:41:31,,,,,0,-1
28/08/2022,17:41:35,26.6,88.0,1644.0,285.0,,
28/08/2022,17:41:35,,,,,0,-1
28/08/2022,17:41:37,26.7,88.0,1552.0,208.0,,
28/08/2022,17:41:37,,,,,0,-1
28/08/2022,17:41:41,26.7,87.0,1224.0,125.0,,
28/08/2022,17:41:41,,,,,0,-1
28/08/2022,17:41:43,26.6,88.0,1338.0,142.0,,
28/08/2022,17:41:43,,,,,0,-1
28/08/2022,17:41:47,26.6,88.0,1663.0,301.0,,
28/08/2022,17:41:47,,,,,0,-1
28/08/2022,17:41:49,26.6,87.0,1627.0,269.0,,
28/08/2022,17:41:49,,,,,0,-1
28/08/2022,17:41:53,26.6,87.0,1562.0,216.0,,
28/08/2022,17:41:53,,,,,0,-1
28/08/2022,17:41:55,26.6,88.0,1632.0,275.0,,
28/08/2022,17:41:55,,,,,0,-1
28/08/2022,17:41:59,26.7,87.0,1620.0,264.0,,
28/08/2022,17:41:59,,,,,0,-1
28/08/2022,17:42:03,26.6,88.0,1458.0,161.0,,
28/08/2022,17:42:03,,,,,0,-1
28/08/2022,17:42:05,26.7,88.0,1657.0,296.0,,
28/08/2022,17:42:05,,,,,0,-1
28/08/2022,17:42:09,26.8,88.0,1632.0,275.0,,
28/08/2022,17:42:09,,,,,0,-1
28/08/2022,17:42:11,26.6,88.0,1674.0,313.0,,
28/08/2022,17:42:11,,,,,0,-1
28/08/2022,17:42:15,26.6,88.0,1736.0,374.0,,
28/08/2022,17:42:15,,,,,0,-1
28/08/2022,17:42:17,26.7,88.0,1798.0,446.0,,
28/08/2022,17:42:17,,,,,0,-1
28/08/2022,17:42:21,26.6,88.0,1813.0,465.0,,
28/08/2022,17:42:21,,,,,0,-1
28/08/2022,17:42:23,26.6,88.0,1511.0,178.0,,
28/08/2022,17:42:23,,,,,0,-1
28/08/2022,17:42:27,26.6,88.0,1004.0,92.0,,
28/08/2022,17:42:27,,,,,0,-1
28/08/2022,17:42:29,26.7,88.0,645.0,37.0,,
28/08/2022,17:42:29,,,,,0,-1
28/08/2022,17:42:33,26.7,88.0,574.0,26.0,,
28/08/2022,17:42:33,,,,,-1,-1
28/08/2022,17:42:35,26.6,88.0,552.0,23.0,,
28/08/2022,17:42:35,,,,,-1,-1
28/08/2022,17:42:39,26.7,88.0,578.0,27.0,,
28/08/2022,17:42:39,,,,,-1,-1
28/08/2022,17:42:41,26.6,89.0,542.0,21.0,,
28/08/2022,17:42:41,,,,,-1,-1
28/08/2022,17:42:45,27.0,90.0,536.0,20.0,,
28/08/2022,17:42:45,,,,,-1,-1
28/08/2022,17:42:47,26.6,89.0,600.0,30.0,,
28/08/2022,17:42:47,,,,,-1,-1
28/08/2022,17:42:51,26.7,90.0,574.0,26.0,,
28/08/2022,17:42:51,,,,,-1,-1
28/08/2022,17:42:53,26.7,91.0,692.0,44.0,,
28/08/2022,17:42:53,,,,,0,-1
