date,time,Temp,Humidity,CO2,TVOC,fan_action,filter_action
30/08/2022,23:08:58,23.6,75,435,5,,
30/08/2022,23:09:03,23.4,75,441,6,,
30/08/2022,23:09:08,23.7,75,432,4,,
30/08/2022,23:09:13,23.8,74.0,464.0,9.0,-1,-1
30/08/2022,23:09:18,23.9,74,455,8,,
30/08/2022,23:09:23,23.8,74,441,6,,
30/08/2022,23:09:28,23.5,74.0,421.0,3.0,-1,-1
30/08/2022,23:09:33,23.5,75,416,2,,
30/08/2022,23:09:38,23.9,74,450,7,,
30/08/2022,23:09:43,23.8,75.0,400.0,0.0,-1,-1
30/08/2022,23:09:48,23.8,74,400,0,,
30/08/2022,23:09:53,24,76,421,3,,
30/08/2022,23:09:58,23.8,75.0,434.0,5.0,-1,-1
30/08/2022,23:10:03,23.8,75,452,7,,
30/08/2022,23:10:08,23.5,75,462,9,,
30/08/2022,23:10:13,23.9,75.0,457.0,8.0,-1,-1
30/08/2022,23:10:18,23.8,75,427,4,,
30/08/2022,23:10:23,23.6,75,447,7,,
30/08/2022,23:10:28,23.5,75.0,434.0,5.0,-1,-1
30/08/2022,23:10:33,23.8,74,427,4,,
30/08/2022,23:10:38,23.8,74,427,4,,
30/08/2022,23:10:43,23.8,74.0,427.0,4.0,-1,-1
30/08/2022,23:10:48,23.8,74,457,8,,
30/08/2022,23:10:53,23.5,74,466,10,,
30/08/2022,23:10:58,23.6,74.0,452.0,7.0,-1,-1
30/08/2022,23:11:03,23.8,74,434,5,,
30/08/2022,23:11:08,23.4,74,444,6,,
30/08/2022,23:11:13,23.8,74.0,444.0,6.0,-1,-1
30/08/2022,23:11:18,23.6,74,447,7,,
30/08/2022,23:11:23,23.6,74,434,5,,
30/08/2022,23:11:28,23.5,74.0,439.0,5.0,-1,-1
30/08/2022,23:11:33,23.5,74,434,5,,
30/08/2022,23:11:38,23.8,74,444,6,,
30/08/2022,23:11:43,23.8,74.0,434.0,5.0,-1,-1
30/08/2022,23:11:48,23.6,74,434,5,,
30/08/2022,23:11:53,23.5,74,402,0,,
30/08/2022,23:11:58,23.8,74.0,420.0,3.0,-1,-1
30/08/2022,23:12:03,23.6,74,424,3,,
30/08/2022,23:12:08,23.6,74,435,5,,
30/08/2022,23:12:13,23.6,74.0,435.0,5.0,-1,-1
30/08/2022,23:12:18,23.5,74,477,11,,
30/08/2022,23:12:23,23.6,74,446,7,,
30/08/2022,23:12:28,23.5,74.0,427.0,4.0,-1,-1
30/08/2022,23:12:33,23.8,74,502,15,,
30/08/2022,23:12:38,23.6,74,461,9,,
30/08/2022,23:12:43,23.7,74.0,439.0,5.0,-1,-1
30/08/2022,23:12:48,23.8,74,472,10,,
30/08/2022,23:12:53,23.8,74,461,9,,
30/08/2022,23:12:58,23.9,74.0,435.0,5.0,-1,-1
30/08/2022,23:13:03,23.5,74,402,0,,
30/08/2022,23:13:08,23.8,75,409,1,,
30/08/2022,23:13:13,24.0,76.0,461.0,9.0,-1,-1
30/08/2022,23:13:18,23.8,74,425,3,,
30/08/2022,23:13:23,23.8,74,439,5,,
30/08/2022,23:13:28,23.8,74.0,420.0,3.0,-1,-1
30/08/2022,23:13:33,23.8,74,477,11,,
30/08/2022,23:13:38,23.8,74,473,11,,
30/08/2022,23:13:43,23.8,74.0,477.0,11.0,-1,-1
30/08/2022,23:13:48,23.9,74,461,9,,
30/08/2022,23:13:53,23.8,74,416,2,,
30/08/2022,23:13:58,23.8,74.0,409.0,1.0,-1,-1
30/08/2022,23:14:03,23.6,74,409,1,,
30/08/2022,23:14:08,23.8,74,415,2,,
30/08/2022,23:14:13,23.9,74.0,423.0,3.0,-1,-1
30/08/2022,23:14:18,23.8,74,403,0,,
30/08/2022,23:14:23,23.8,75,420,3,,
30/08/2022,23:14:28,23.6,75.0,455.0,8.0,-1,-1
30/08/2022,23:14:34,23.8,75,443,6,,
30/08/2022,23:14:39,23.8,75,428,4,,
30/08/2022,23:14:44,23.8,74.0,439.0,5.0,-1,-1
30/08/2022,23:14:49,23.8,74,448,7,,
30/08/2022,23:14:54,23.8,74,492,14,,
30/08/2022,23:14:59,23.6,74.0,492.0,14.0,-1,-1
30/08/2022,23:15:04,23.8,74,501,15,,
30/08/2022,23:15:09,23.6,74,514,17,,
30/08/2022,23:15:14,23.5,74.0,463.0,9.0,-1,-1
30/08/2022,23:15:19,23.6,74,553,23,,
30/08/2022,23:15:24,23.8,74,501,15,,
30/08/2022,23:15:29,23.4,74.0,485.0,12.0,-1,-1
30/08/2022,23:15:34,23.7,74,519,18,,
30/08/2022,23:15:39,23.7,74,463,9,,
30/08/2022,23:15:44,23.8,74.0,435.0,5.0,-1,-1
30/08/2022,23:15:49,23.8,74,435,5,,
30/08/2022,23:15:54,23.5,73,448,7,,
30/08/2022,23:15:59,23.5,73.0,481.0,12.0,-1,-1
30/08/2022,23:16:04,23.8,73,463,9,,
30/08/2022,23:16:09,23.8,73,485,12,,
30/08/2022,23:16:14,23.8,73.0,496.0,14.0,-1,-1
30/08/2022,23:16:19,23.8,73,542,21,,
30/08/2022,23:16:24,23.5,73,567,25,,
30/08/2022,23:16:29,23.7,73.0,542.0,21.0,-1,-1
30/08/2022,23:16:34,23.5,73,514,17,,
30/08/2022,23:16:39,23.6,73,496,14,,
30/08/2022,23:16:44,23.7,73.0,503.0,15.0,-1,-1
30/08/2022,23:16:49,23.4,73,514,17,,
30/08/2022,23:16:54,23.8,73,514,17,,
30/08/2022,23:16:59,23.6,73.0,492.0,14.0,-1,-1
30/08/2022,23:17:04,23.7,73,492,14,,
30/08/2022,23:17:09,23.5,73,514,17,,
30/08/2022,23:17:14,23.8,73.0,481.0,12.0,-1,-1
30/08/2022,23:17:19,23.5,73,460,9,,
30/08/2022,23:17:24,23.5,73,485,12,,
30/08/2022,23:17:29,23.8,73.0,519.0,18.0,-1,-1
30/08/2022,23:17:34,23.8,74,463,9,,
30/08/2022,23:17:39,23.4,74,435,5,,
30/08/2022,23:17:44,23.4,80.4,424.0,3.0,-1,-1
30/08/2022,23:17:49,23.8,74,435,5,,
30/08/2022,23:17:54,23.5,74,530,19,,
30/08/2022,23:17:59,23.5,73.0,501.0,15.0,-1,-1
30/08/2022,23:18:04,23.8,74,472,10,,
30/08/2022,23:18:09,23.8,73,452,7,,
30/08/2022,23:18:14,23.8,73.0,460.0,9.0,-1,-1
